Description,Label
"MHS22 Morse 1-3/8"" Bi-metal H",Exclude
"[PVC Locknut] 1/2""",Exclude
"[Handy Box] 1 Gang, 1 1/2"" Dee",Exclude
"4"" PVC Sched 40 10' sections",Conduit
thhn #10 solid black,Wire
Black Markers,Exclude
1-1/2 Scd 80 PVC 90’s,Exclude
THHN 12 SOL ORG,Wire
"1 1/2"" PVC Schedule 40",Conduit
#14awg 2-wire Fire Alarm Cable,Wire
# 2  AWG AL BLACK THWN or XXHW,Wire
"1"" PVC Conduit, 10', Schedule ",Conduit
"Flexible Steel Conduit, 1/2"", ",Conduit
Arlington EMT400 EMT Insulatin,Exclude
#10 thhn solid green,Wire
"4"" PVC Schedule  40",Conduit
4 Port Polaris Lugs Same Side,Exclude
3/4 CARFLEX CONDUIT,Conduit
"[Custom Feeder] (4) 8 AWG, THH",Wire
#12 orange solid wire THHN,Wire
"10' sticks of 2"" Rigid conduit",Conduit
"PVC Coated Conduit, 2-1/2"", 10",Conduit
TOPAZ ELECTRIC 2110 4-IN EMT &,Conduit
#6 copper THWN white,Wire
"#10 3"" screws",Exclude
COP THHN8STRBRN-CUT THHN-8-BRN,Wire
12/2 Romex (1000' REELS),Wire
1 1/2” seal tight 90 degree co,Exclude
"1"" pvc LB",Conduit
Single Gang Plastic Device Box,Exclude
RAMSET 27 YELLOW POWDER STRIPS,Exclude
3M 165RD4A 7100169492 TEMFLEX ,Exclude
4 X CLOSE-GALVANIZED CONDUIT N,Conduit
"[THWN/2 Wire] Black, 10 AWG, C",Wire
"1"" PVC SCH 80 CONDUIT",Conduit
"3/4"" sealtight flex (metal in",Conduit
12 AWG THHN/THWN Stranded Cop,Wire
"1"" Emt",Conduit
"2-1/2"" PVC Conduit, 10', Sche",Conduit
"[Metallic Liquidtight] 1 1/4"",",Exclude
3/4-STEEL THINWALL CONDUIT RED,Conduit
Calbrite S61000MH00 Conduit Ha,Conduit
"1"" scedule 40 PVC conduit",Conduit
EMT125,Conduit
[EMT Compression Coupling] 3/4,Exclude
Flat Hanger Screw TK - With D,Exclude
Wire THHN 12 stranded green,Wire
1-roll 1'' Green Field Flex,Conduit
"[THWN/2 Wire] Black, 12 AWG, C",Wire
9903035  177HD,Exclude
4X6 PULLBOX,Exclude
#12 BLACK THHN CU,Wire
"2"" GRC ",Conduit
6 Strand Copper Wire Soft Draw,Wire
"1"" emt",Conduit
MCNP12/3SOL BKRDBE 3#12N1#12G ,Wire
Polaris Tap three 350 MCM,Exclude
"4"" PVC Sch. 40",Conduit
feet spools 12/2 MC yellow,Wire
4/0 3 hole polaris tap,Exclude
"3"" RIGID Conduit",Conduit
"3/4"" Flexible Liquidtight Meta",Conduit
"3"" pvc conduit",Conduit
"3"" pvc Sch 40",Conduit
"[GRC/RMC] 4"", 10' Sticks",Conduit
Utility Duct Tape,Exclude
"11"" zip ties clear",Exclude
12X12X4 JBOX W/CVR,Exclude
"[Electrical Tape] EWG, Brown",Exclude
3/4” Ridgid Conduit,Conduit
Single gang Mudring adjustable,Exclude
1300' 500 MCM XHHW Alu Wire Bl,Wire
#10 THHN Black Stranded,Wire
"1/2"" threaded K.O. seals  ",Exclude
"1 1/2"" EMT ",Conduit
"master bundle 3/4"" EMT",Conduit
#1 AWG XHHW Alu Green,Wire
THHN-10-GRN-SOL-CU-2500S/R,Wire
3/0 Bare Stranded Copper Wire,Wire
300 MCM XHHW-2 AL (BLUE),Wire
"2 1/2"" 30 DEGRE ELBOW",Exclude
1/4 NUTS,Exclude
"1"" PVC SCH 40 PVC",Conduit
"4"" sq blank plates",Exclude
# 8 THHN Copper,Wire
GRC 2,Conduit
12/2 MC Black hot color reel,Wire
"Bridgeport 904S 1 1/4"" One-Hol",Exclude
#8 Stranded THHN - Red,Wire
#2 Red THHN,Wire
"1"" emt to fmc transition",Conduit
3/8” One Hole Strap,Exclude
#12 Wahos,Wire
Unistrut flat 4 Hole coupling,Exclude
"3"" PVC Elbow, 90°, Schedule 4",Exclude
2'' FLEX,Conduit
"[THHN Wire] Black, 8 AWG, Cop",Wire
#12 Orange STR wire THHN,Wire
"1 1/4"" emt conduit",Conduit
"3"" rigid couplings",Exclude
#10 Solid THHN Brown (2500' Sp,Wire
PVC COND 2-1/2,Conduit
EMT 1,Conduit
4sq Ext Boxes,Exclude
Pvc Glue Despensing Can,Exclude
EGS TCI-502 3/4 IN EMT SSCR CO,Conduit
"1"" Unistrut strap",Exclude
RIDGID1 Gal. Dark Pipe Threadi,Conduit
"1""EMT",Conduit
"Self-Drilling Screw, #8 x 1/2""",Exclude
#1 THHN YELOW CUPPER,Wire
4” Seal Tight Flex,Conduit
White #10 str,Wire
#3 THHN CU (BLACK),Wire
"3/4"" PVC",Conduit
12-3 MC CABLE (BUYOUT),Wire
"2"" EMT       30°",Conduit
2 IN PVC Conduit 10 FT stick S,Conduit
Milwaukee12 in. 18 TPI Medium ,Exclude
4-11/16 flat 2g plaster ring,Exclude
4/0 Black THHN copper,Wire
18” WHITE ZIP TIES,Exclude
"3/8"" aluminum Superflex",Conduit
red crayons,Exclude
standard broom,Exclude
900' 400 MCM XHHW Alu Wire Whi,Wire
"[Machine Screw] #6-32, 3"", Phi",Exclude
"[PVC] 1/2"", Schedule 40, 10' S",Conduit
"1-1/2"" pvc",Conduit
"[ENT] 1/2"", 10'",Conduit
2/3 mc cable,Wire
LARGE BLUE WIRE NUTS,Exclude
"1"" EMT Steel Compression Conne",Exclude
1/4”  X 1 1/4” Fender Washers,Exclude
Panduit ST35-075-66YL PVC Elec,Conduit
"4"" Conduit -Site  PVC Sch 80",Conduit
"2"" SCHEDULE 40 PVC CONDUIT",Conduit
CHICO A SEALING COMPOUND1 LB W,Exclude
CADDY TSGB16,Exclude
"1 AWG THHN/THWN-2 Stranded, C",Wire
# 1 Alum Green XHHW,Wire
"2 1/2"" PVC Male Adapter",Exclude
#12 THHN STR ORANGE,Wire
#8 THHN BLUE (1000' & 500' ),Wire
MC CABLE 12-3,Wire
"3/4"" mini's EMT",Conduit
# 12 THHN black stranded,Wire
"[NM-B Wire] 10/3, Orange, 100'",Wire
#3 THHN BLACK (1 X 1325' REEL),Wire
"3"" PVC Sweep",Conduit
"1"" Insulated Ground Bushings /",Exclude
#10 THHN PURPLE WIRE,Wire
1 Inch Pvc Pipe ,Conduit
10/2 MC Cable - Alum or Steel ,Wire
40'- 2 1/2'' Rigid Conduit,Conduit
50 x 10' Sticks of 7/8 unistru,Exclude
3” Pvc Schl 40,Conduit
#12 THHN STR BLACK,Wire
"Hammer-On Beam Clamp: Steel, 1",Exclude
"[THHN Wire] White, 1/0 AWG, A",Wire
"4"" RMC",Exclude
"4"" flex straight connectors (g",Exclude
1 in. x 10 ft. PVC Schedule 40,Conduit
"3"" PVC F/A",Conduit
"3"" Arlington Bang On White Bus",Exclude
3 TO 2 REDUCING WASHER,Exclude
1-1/2”Pvc Schl 40,Conduit
#12 Thhn  Red  stranded,Wire
500 XHHW AL,Wire
2-STEEL THINWALL CONDUIT,Conduit
#2 AWG Red ALUM,Wire
MC-CABLE-12/2 - 1000FT REEL,Wire
"[PVC Terminal Adapter] 5"", Fem",Exclude
"5"" PVC Sweep",Conduit
6 AWG XHHW-2 Stranded Aluminu,Wire
1/2 emt one hole strap (100 pa,Exclude
950' 400 MCM Alu XHHW Wire (Re,Wire
Caddy BC260025EG 1/4” Beam Cla,Exclude
20' -1 1/4'' seal Tight Flex,Conduit
2 Gang Bell Box Deep,Exclude
3/8 in. Flexible Metal Conduit,Conduit
"[SER Cable] Aluminum, 4/0-4/0-",Wire
1 gang plastic box with bracke,Exclude
250MCM AL XHHW Wire  (8 Cuts @,Wire
PVC 200 2-IN-PVC-SCHED-40-COND,Conduit
"1/2"" FLEXABLE NON-METALIC LIQU",Conduit
"Blue ENT, 3/4"", 1000' Reel",Conduit
THHN10 SOL YEL 500RL THHN-10-Y,Wire
"2 1/2"" EMT   Connectors Compre",Exclude
grip rite star head 1-1/4 wood,Exclude
"3/4"" PVC Conduit",Conduit
3/8'' Flat washers 1 1/4'',Exclude
1/4” BEAM CLAMPS,Exclude
"1-1/4"" PVC ",Conduit
"1-1/2"" Plastic bussing",Exclude
XHHW-2-AL-6-STR-WHT-CUT REEL,Wire
"3/4"" red emt conduit",Conduit
#10 thhn stranded gray,Wire
"3"" flex",Conduit
"sticks of 3/4"" PVC",Conduit
"1 piece strut strap 1 1/2"" cad",Exclude
red butt splice,Exclude
"EMT Conduit, 1-1/2"", Galvanize",Conduit
18/2 plenum rated,Wire
milwaukee 48-22-3100  (36 shar,Exclude
"rigid 2"" x 12"" L nipple",Exclude
cable stacker,Wire
"[THHN Wire] Brown, 2 AWG, Cop",Wire
2” Metal Flex,Conduit
10/3 MC Cable - Alum or Steel ,Wire
30' 2/0 XHHW Alu Wire White,Wire
Dottie Self Tapping Panhead sc,Exclude
2” Steel Locknuts,Exclude
#12 Blue THHN CU,Wire
"3"" PVC SCH 40 (10' Lenghts )",Conduit
"EMT Conduit, 3/4"", Steel, 10'",Conduit
"3/4"" PVC pipe schedule 40",Conduit
Arlington 5010AST MC/AC/Flex ,Conduit
"3"" PVC LB W/ GASKET AND COVER",Exclude
#10 green thhn,Wire
ECGB10,Exclude
SH CHNL 1 5/8 X 1 5/8-9/16 X 1,Exclude
"2"" sealtight",Conduit
600 kcmil THHN Aluminum Black,Wire
"4"" Square Box, Drawn, Metalli",Exclude
"4"" PVC sched 40",Conduit
"1"" EMT (Minis)",Conduit
600 KCMIL XHHW Aluminum,Wire
"1/2"" EMT One Hole Straps",Exclude
TPZ ELB2CG 3/4 AL EMT LB COND ,Conduit
CUT CHARGES,Exclude
"3/8"" drop in anchor w/set tool",Exclude
Ideal 30-3407 12 AWG Grounding,Wire
"1"" Sch 40 PVC",Conduit
1-1/2”       Schl 40   pvc  Ma,Conduit
3/4 X 10FT CU CLAD UL GROUND R,Exclude
"1"" aluminum flex",Conduit
2-Hole 90-Degree Angle Strut B,Exclude
"#12 THHN Red,",Wire
"1"" PVC Sch 40 20' Sections",Conduit
#4 Aluminum XHHW,Wire
"2"" PVC SCH 40 CONDUIT",Conduit
"[XHHW Wire] Black, 250 MCM, Al",Wire
"1"" mini straps",Exclude
"2"" sch 40 pvc 10'",Conduit
"1/2"" AL flex",Conduit
"2"" PVC Elbow, 45°, Schedule 40",Exclude
SQZ FLEX 3/4,Conduit
1-roll 3/4'' Green Field Flex,Conduit
# 4 awg xhhw GREEN COPPER ,Wire
Appleton BLSG150 Sealing Lockn,Exclude
nVent Caddy SGB16A Screw Gun ,Exclude
"4"" PVC ",Conduit
"Band Saw Blade, Bi-Metal, 24 T",Exclude
#14 White Stranded Wire THHN,Wire
#6 THHN green stranded,Wire
"1 1/2"" IMC",Exclude
"10 AWG THHN SOLID COPPER, GREE",Wire
2/0 AWG XHHW ALUMINUM GREEN,Wire
300' 700 MCM Alu XHHW Wire (Wh,Wire
ORANGE ELECTRICAL TAPE,Exclude
16/2 lamp cord  (LV LIGHTING),Exclude
"3/4"" ENT",Conduit
Caldweld Shots,Exclude
"3"" EMT",Conduit
"SER Service Entrance Cable, 1",Wire
SER 3x #4/0 + GND - AL (500' R,Wire
#1 BLACK THHN COPPER,Wire
NM-B - 8/2 Stranded Copper,Wire
1”1/2 EMT CONDUIT,Conduit
STANDAR CABLE TIE,Exclude
"4"" PVC Conduit Cap",Exclude
#6 stranded copper wire 1000' ,Wire
"1"" PVC Coated GRC",Conduit
2-1/2 TERMINAL ADAPTER,Exclude
"1"" Grounding bushing",Exclude
#2 AWG Red alum,Wire
"1 1/2"" emt steel compresion co",Exclude
"1 1/2"" PVC M/A",Conduit
"4"" PVC Schedule 40 20' Sticks",Conduit
Polypropylene 6500 Ft/ Bucket ,Exclude
"[GRC/RMC] 3/4"", 10' Sticks",Conduit
"4"" Sch. 40 PVC",Conduit
"Rigid Conduit, 2"", Galvanized ",Conduit
1-1/4-ALUMINUM FLEXIBLE CONDUI,Conduit
"2"" WHITE PLASTIC BUSHING",Exclude
"4"" metal flex",Conduit
#10 SOL GRN,Wire
"2"" x 12"" Galvanized Conduit N",Conduit
"REEL, 3/4"" CARFLEX LIQUIDTIGH",Conduit
THHN-8-STR-GRN-CU,Wire
600 Wire XHHW-2 / RW90 - Alum,Wire
938 3 Bushing,Exclude
"Strut Strap, Diameter: 2"", Ste",Exclude
can of great stuff foam,Exclude
#6 STR THHN White (1000' Spool,Wire
"3"" rigid conduit",Conduit
4/0 THHN BLUE WIRE,Wire
#12 THHN black,Wire
3/4” red emt,Conduit
Arlington SG3838AST AC/MC/Flex,Conduit
Greenlee 38506 Hole Saw Arbor,Exclude
1/2 EMT conduit,Conduit
1/4” all thread,Exclude
#12 white thhn solid,Wire
"3/4"" RED EMT",Conduit
Snap Close Metal Stub Conduit ,Exclude
"Junction Box, NEMA 4, Continuo",Exclude
"METAL ONLY SAWZAW BLADES 12"" L",Exclude
"3"" PVC SCH 40 by 10' Long",Conduit
FLEX 4,Conduit
4” Octagone Box Shallow,Exclude
"1"" EMT CONDUIT",Conduit
4/0 CU,Wire
"12"" x 12"" Unpainted wireway co",Exclude
THHN-4/0-STR-BRN-CU,Wire
"Aluminum Flex, 1/2"", 50' Reel",Conduit
3/0 awg Copper ,Wire
"[EMT Strut Strap] 2""",Exclude
3/4 x 1/2 TREADED Bushing,Exclude
"3/4"" floor flange",Exclude
LQT NM0501000RL 1/2-IN-FLEX-NM,Conduit
#14 Yellow Stranded Wire THHN,Wire
THHN/THWN-2 600V ALUM COND,Wire
"4"" Square Blank Plates",Exclude
1/2 IN COMP COUPLING-US MADE,Exclude
"PVC Coated Rigid Conduit, 1-1/",Conduit
"[MC] 12/2 w/ GND, Black/Green,",Wire
AL SER CABLE 3/C 4/0 WITH GRO,Wire
350 XHHW Aluminum White,Wire
"3"" GREENFIELD METAL FLEX",Conduit
2'' ENTR CAP,Exclude
"1 1/2"" EMT compression connect",Exclude
1 in. PVC Coupling,Exclude
104 EMT COMP CONNECTION,Exclude
THHN-10-BRN-SOL-CU-2500S/R,Wire
"[NM-B Wire] 12/3, Yellow, 500'",Wire
"4 sq, 1 1/2""D, 1/2"" & 3/4"" KO",Exclude
#4 CU THHN,Wire
IDE 30-3392 12AWG 8INCH BOX OF,Exclude
"12 AWG THHN BLK Solid Copper, ",Wire
"Flexible Conduit] Alum 3/4"", ",Conduit
1 5/8 strut,Exclude
#12 Solid THHN - Blue,Wire
1/2 steel greenfield flex,Conduit
"Cable Tie, Nylon, Miniature, N",Exclude
500 MCM XHHW Aluminum,Wire
"1/2"" PVC Conduit, 10', Schedul",Conduit
"Rolls of Mule Tape 1/2"" x 500",Exclude
Carlon E910F PVC Conduit Repai,Conduit
3” RIGID COUP,Exclude
# 6 CU GREEN THWN,Wire
"3"" PVC MA'S",Conduit
#6 Copper THHN,Wire
#10 Black Wire THHN STRANDED,Wire
"3/4"" PVC Conduit, 10', Schedul",Conduit
1/0 aluminum XHHW green,Wire
2/1/2 emt,Conduit
"[THHN Wire] Red, 4 AWG, Copper",Wire
20 A DECORA WHITE RECEPTACLE,Exclude
#10 BLACK THHN  - 2500' SPOOLS,Wire
"8# Thhn Thwn Yellow Wire 350, ",Wire
"3/4"" ENT snap in connectors",Exclude
1 1/2 SCH. 40 PVC,Conduit
PIPE EMT,Conduit
"1 1/4"" sch 40 PVC",Conduit
"4""SQ PLASTER RING SQ TO ROUND",Exclude
NSI Tork IT-350 Insulated Cabl,Exclude
1 1/2 panel ko seal,Exclude
"Type THHN Building Wire, Reel ",Wire
"2"" EMT",Conduit
"2"" Conduit - PVC 40",Conduit
1-Gang Round Floorbox Cover H,Exclude
"Electrical Tape, 0.75"" Width x",Exclude
"[PVC] 2"", SCHEDULE 40, 10'",Conduit
4” 90 Degree Elbows pvc,Exclude
Drywall Zip Its/Anchors,Exclude
"4"" Rigid coupling",Exclude
"rigid 2"" pipe",Conduit
"12"" X 12"" X 36"" Nema3R gutter",Exclude
"1-1/2"" sch.40 PVC",Conduit
#12 THHN SOL Cu GREY,Wire
"1 1/2"" PVC F/A",Conduit
1-1/4 Scd Pvc,Conduit
1-1/4 NMLT CONDUIT,Conduit
#6 Black THHN copper wire,Wire
COUPLER 8.5MM STR CONN CLEAR ,Exclude
"[PVC] 4"", Schedule 40, 20' Sti",Conduit
"4""PVC sch 40 pipe",Conduit
15/32 in. x 4 ft. x 8 ft. Sout,Exclude
250 XHHW Alum,Wire
"3/4"" to 1/2"" reducing washers",Exclude
1 IN GRND BSHNG INS,Exclude
4” unistrut straps,Exclude
12/2 MC With isolated ground,Wire
4 x 8 x 3/4 Plywood,Exclude
"100ft Red 2"" EMT",Conduit
"2"" PVC  ",Conduit
"[PVC] 1/2"", Schedule 40, 10' ",Conduit
#10 thhn black solid,Wire
"1-1/4"" PVC Sch.40 Conduit 10' ",Conduit
WHITE #10 THHN SOLID COPPER WI,Wire
"3/4"" SEALTIGHT CONN INSULATED",Exclude
XHHW ALUMINUM -2 STRANDED 250 ,Wire
#10 Thhn red stranded,Wire
"2"" schedule 40 PVC 90'D elbows",Exclude
1-1/2 PVC MA’s,Conduit
#4 thhn Black,Wire
"2"" EMT Minnies",Conduit
3/0 XHHW AL,Wire
Flat Hanger Screw TK - With Dr,Exclude
3 1/2 IN. PVC SCH 40,Conduit
1.5V AAA Battery (18PK),Exclude
"3/4"" smurf",Conduit
4 IN SCH 40 PVC,Conduit
J lug for # 6 AWG,Exclude
600V CU,Exclude
"10' stick of 3/4"" PVC plumbing",Conduit
two gang bell box blank covers,Exclude
"3/4"" EMT CONDUIT`",Conduit
"1"" PVC TA's",Conduit
#12 orange THHN 2500' SOLID,Wire
"3/8"" x 1"" Fender washers ",Exclude
"3"" Plastic bang on bushing",Exclude
40' 1 1/2'' Green Field Flex,Conduit
2 1/2 IN Conduit Liquid Tight,Conduit
"1"" Conduit -PVC Sch 80",Conduit
Klein Tool 50350 13” Flexible ,Conduit
"3"" EMT ",Conduit
"4"" PVC SCH 40",Conduit
#6 STR THHN Red (1000' Spools),Wire
Thomas & Betts 3112 AC/Flex Co,Conduit
"[THHN Wire] White, 3/0 AWG, Al",Wire
130c Tape ,Exclude
2-GALLONS PVC GLUE,Exclude
"3"" PVC Conduit Cap",Exclude
"EMT Insulating Bushing, 1"", N",Exclude
1 1/2” pvc elbow 90,Exclude
Green 1/0AWG Copper Wire THHN,Wire
"[ENT] 1"", 500'",Conduit
"3/4"" ENT CONDUICT BLUE",Conduit
"1"" EMT COMPRESSION STEEL COUP",Exclude
12/3 low voltage MC cable,Wire
"Gray ENT, 1-1/4"", 500' Coil",Exclude
"[THHN Wire] Red, 3 AWG, Copper",Wire
"4"" PVC Conduit, 20', Schedule",Conduit
4/0AWG GRAY COPPER WIRE,Wire
#12 Solid THHN Copper White/Bl,Wire
"1/2"" CARFLEX",Conduit
#12 Solid THHN Yellow (2500' S,Wire
# 4  AWG CU BROWN THWN or XXH,Wire
"Pvc Coated 4"" Rigid Elbow, 90°",Exclude
12 awg thhn red,Wire
"1"" sealoffs",Exclude
"2"" EMT 30 Degree bends",Exclude
"3/4"" Carflex® Black Liquidtigh",Conduit
1 1/4'' One Hole straps,Exclude
1/2 seal-tight flex,Conduit
"1"" smurf gray 750' reels",Conduit
"[ENT] 1"", 1000'",Conduit
"PVC 3"" ELBOW 45 SCH 40",Exclude
"2-1/2"" Rigid Metal Conduit",Conduit
123AL01 35043 ELBEMT4002212,Conduit
3/4 carflex,Conduit
1/4 x 1-1/4 tapcons,Exclude
"1"" RIGID 90",Exclude
"Blue ENT, 3/4"", 1000 Ft Roll ",Conduit
"1000' 1"" smurf tube",Conduit
"2"" EMT       15°",Conduit
12/2 MC CABLE BLACK WHITE GREE,Wire
"TOPAZ ELECTRIC 650S 4"" EMT/RIG",Conduit
"12 AWG THHN SOLID COPPER, ORAN",Wire
#10 Brown,Wire
3/4” SEALTIGHT,Conduit
# 10  AWG CU THWN Blue Provid,Wire
#8 THHN STR 10000’ red on 5000,Wire
#12 WHITE SOLID WIRE,Wire
"[THHN Wire] White, 1/0 AWG, Co",Wire
"3/4"" emt compression couplings",Exclude
Noalox 30 X 0.30 Antioxidant 8,Exclude
#6 thhn green,Wire
1 1/2 PVC Pulling C,Conduit
90's Seal Tight Flex Connecto,Exclude
TYNDALL FLIGHTLINE 8/24/23,Wire
900' 400 MCM XHHW Alu Wire Bla,Wire
3 AWG THHN RED WIRE,Wire
CAT5E PVC BLUE POP,Wire
#12 thhn white solid,Wire
1 1/2in pvc pipe 20' lengths,Conduit
6-2 ROMEX,Wire
1/2 EMT CMPCON OQY 21015-088PR,Conduit
Caweld 250 Shot Welds,Exclude
10/2 NM-B ROMEX (1000' SPOOLS),Wire
#10 Green Wire Stranded,Wire
10 x 3/4 Self Tapping Hexagona,Exclude
"500' 4"" EMT",Conduit
"1 1/2"" metallic flex",Conduit
#12 THHN Solid White,Wire
15007-100 3/4 6/T FLEX PVC,Conduit
NM-B - 8/3 Stranded Copper,Wire
121236 G NK,Exclude
"2"" STICK EMT",Conduit
Schedule 80 1” PVC,Conduit
THHN 12 SOL BLU,Wire
"4"" emt",Conduit
116 F44G12 WW TYPE1STRTSECTION,Exclude
# 4 GREEN Aluminum XHHW ,Wire
"48""X48""X12""NEMA 1 JUNCTION BOX",Exclude
8-2 ROMEX,Wire
"3/4"" gray ENT",Conduit
12 thhn black standed,Wire
3/4 CARFLEX,Conduit
4-inch pvc,Conduit
6/3 SO CORD,Exclude
3/4 X CLOSE-GALVANIZED CONDUIT,Conduit
# 10 Red copper solid ( 500 ft,Wire
"[PVC] 3"", Schedule 40, 10' St",Conduit
"3/4"" GRAY ENT 1000' SPOOL",Conduit
750 SINLE HOLE CRIMP ON LUGS,Exclude
"4"" 2-PIECE STRUT CLAMP - UNIVE",Exclude
"3/4"" Minni's for EMT ",Conduit
"3/8"" FLEXSTEEL CONDUIT",Conduit
Layout String - Roll,Exclude
1-STEEL THINWALL CONDUIT,Conduit
"3"" metal flex",Conduit
MANOR WEST RIVER 22027-147AL02,Exclude
THHN 600 MCM GREY CU STRANDED,Wire
#6 THHN Green,Wire
3” two piece strut straps,Exclude
Belden #9729 cable,Wire
8-2 MC Cable,Wire
CARLON B520A - Dia. Round Fixt,Exclude
3/4” x4’ RIGID NIPPLE,Exclude
celling grid wire pieces,Wire
"2"" SEAL TIGHT FLEX PVC COATED ",Conduit
"#6 Welding Cable, 105C, Class ",Wire
"1-Hole EMT Strap 1""",Exclude
8/3 Romex Wire 1000' spools,Wire
2 IN EMT COMP CONN W/ INSULATE,Exclude
STEP BIT #12,Exclude
# 8awg GREEN Copper wire,Wire
DOUBLE SNAP IN MC CONNECTOR W,Exclude
"1/2"" metal flexible conduit (g",Conduit
black stranded #10,Wire
3/4” PVC MA,Conduit
"1"" Steel Locknut",Exclude
1/2 STL S/SCR EMT,Conduit
# 6 awg Green  Aluminum XHHW,Wire
"12/2 mc cable solid, AL",Wire
"1"" PVC MA",Conduit
"sticks of  1-1/2"" Deep Strut",Exclude
"#10 THHN BLACK,",Wire
1 1/2 EMT MINERALACS,Conduit
3/4” pvc female adator,Exclude
"1/2"" SEALTIGHT",Conduit
Green #6  wire THHN,Wire
"1-1/2"" pvc ma",Conduit
EMT 3/4,Conduit
"[PVC] 3/4"", Schedule 40, 10' S",Conduit
"1-1/4"" PVC LB",Conduit
300 XHHW-2 Stranded Aluminum B,Wire
1000' 500kcmil black wire reel,Wire
"[THHN Wire] Green, 2/0 AWG, Al",Wire
"Flexible Steel Conduit, 3"", 25",Conduit
"2 1/2"" EMT CONDUIT",Conduit
POLY MULETAPE,Exclude
1/4 MASON BIT,Exclude
1-1/2 EMT COUNDUITS,Conduit
1/2 in. x 8 ft. Copper Ground ,Exclude
4/0-3C SER AL 1000' REELS,Wire
"6 750' spools 1"" gray ENT",Conduit
EMT 100 ARLINGTON,Conduit
"18/2 CL3P Shielded/Plenum, Wh",Wire
"1"" EMT Connector",Exclude
10-3 Romex,Wire
"2-1/2"" GRC",Conduit
"2 1/2"" sch 40 PVC",Conduit
"1 1/4"" PVC Conduit Sch 40",Conduit
HARD TILE & STONE DRILL BIT,Exclude
3-30D-EMT-ELL,Conduit
"3/4"" PVC sch. 40",Conduit
2 Inch Seal Tight Flex With Me,Conduit
"12/3 MC Cable, Stranded",Wire
"[THWN/2 Wire] Green, 14 AWG, C",Wire
"4"" GRC ",Conduit
Fiberglass single gang nail on,Exclude
# 2 awg THHN Copper Yellow,Wire
"4-11/16"" extension rings",Exclude
"1 1/4"" metal flex conduit",Conduit
"1/4"" x 3"" x 12"" copper bar w/4",Exclude
3/0 CU THHN Black,Wire
#1 Al Cable,Wire
