Description,ConduitDiameter
"PVC Coated Rigid Conduit, 1"", ","1"""
"10' Sticks 2-1/2"" PVC Sch 40 (","2-1/2"""
1/2 EMT To 1/2 Greenfield Flex,"1/2"""
"200' 1-1/2"" PVC Sch 40","1-1/2"""
4” PVC x 10’  pipe,"4"""
1” Metal Flex,"1"""
5620 TB 5620 2 INCH T&B EMT CO,"2"""
3 IN PVC SCH 40,"3"""
"1 1/4"" Liquid tight flex (meta","1-1/4"""
"2"" Sealtight","2"""
"[ENT] 1"", 1000'","1"""
Thomas & Betts 371 Conduit Hu,UNK
"4"" PVC M/A","4"""
2-1/2 carflex,"2-1/2"""
2-1/2”       Schl 40   pvc  Ma,"2-1/2"""
1-1/2 rigid pipe,"1-1/2"""
"3"" flex","3"""
"1 1/4""  PVC SCH 40","1-1/4"""
PVC COOUP 1,"1"""
Bridgeport® Knockout Conduit ,UNK
PVC 100 1-IN-PVC-SCHED-40-COND,UNK
"1-1/4"" PVC PIPE - SCH 40 - 10 ","1-1/4"""
"300' 3/4"" EMT","3/4"""
"4"" SCH 80 PVC","4"""
"1/2"" X 100' Flexible Aluminum ","1/2"""
2IN RIGID PIPE,UNK
"1 1/4"" metallic sealtight","1-1/4"""
2 inch EMT,"2"""
"3/4"" EMT pipe","3/4"""
"2.5"" schedule 40 pvc","5"""
FLX ALC250RW-CUT 2-1/2-FLEX-AL,"2-1/2"""
1” Schedule 40 PVC Conduit,"1"""
3/4 RIGID CONDUIT,"3/4"""
"4"" greenfield flex","4"""
"1"" sch 40 PVC","1"""
"2 1/2"" sch 40 PVC","2-1/2"""
1-inch ENT (grey),UNK
"1 1/4"" emt","1-1/4"""
"2-1/2"" EMT","2-1/2"""
1 1/2 in emt,"1-1/2"""
"2"" PVC CONDUIT","2"""
1 EMT CMOCON OQY 21015-088PR,"1"""
"2""GRC","2"""
EMT 4X 22-1/2,"1/2"""
"2000' Total 1-1/4"" pvc","1-1/4"""
"1 1/4""pvc TA","1-1/4"""
"EMT 3/4"" Pipe","3/4"""
GRC 2,"2"""
1'' EMT Conduits,UNK
"1 1/2"" rigid conduit","1-1/2"""
LT FLEX NM 3/4,"3/4"""
GRC 075 3/4-GALV-STEEL,"3/4"""
3'' PVC,UNK
"1/2"" FLEX GREENFIELD","1/2"""
"3"" PVC schedule 40 conduit","3"""
3/4 Pvc Schl 40,"3/4"""
"110' 3/4"" PVC","3/4"""
3/8 FLEX,UNK
"2 1/2"" EMT STEEL CMPRESSION C","2-1/2"""
"4"" PVC SCH 40 (20' Sticks)","4"""
1 1/2” Pvc Conduit,"1-1/2"""
"1"" steel flex","1"""
40' 1 1/2'' Green Field Flex,"1-1/2"""
"4"" PVC Conduit SQ 40","4"""
1/2” Greenfield to emt transit,"1/2"""
3 IN. PVC LR,"3"""
"1.25"" STL FLEX","1"""
"1.5"" schedule 80 pvc","5"""
"3/4"" LIQUID TIGHT METAL FLEX","3/4"""
2” PVC LB,"2"""
"1-1/4"" EMT Conduit","1-1/4"""
KYL 012011 *3/4INX1000FT ENT U,"3/4"""
4” pvc conduit,"4"""
AI NMLT150  1-1/2IN PVC LT STR,"1-1/2"""
"2"" PVC SCH40 ( 10' Lengths )","2"""
"Carlon E986L 3"" LB PVC Conduit","3"""
2” emt ,"2"""
1-1/4-STEEL THINWALL CONDUIT,"1-1/4"""
2 in sch 40 pvc,"2"""
3-30D-EMT-ELL,UNK
2'' FLEX,UNK
"2"" schedule 40 PVC","2"""
"TC 1277 3/4"" RIGID IRON PIPE S","3/4"""
"1"" metal flex","1"""
STL FLEX 1-1/2,"1-1/2"""
"3/4"" EMT CONDUITS SILVER","3/4"""
"3"" pvc sch 80 10'","3"""
3/4” SEALTIGHT,"3/4"""
"PVC Conduit, 3/4"", 20', Sched","3/4"""
"4"" southwire (topaz) EMT","4"""
"1"" PVC Schedule 40 ","1"""
"Master bundle 3/4"" EMT","3/4"""
3/4” Schedule 40 Pvc,"3/4"""
"2"" PVC Sch 40 20' Sections","2"""
"4"" EMT Pipe","4"""
"2"" Conduit - ENT Orange - Rise","2"""
1 1/4 Inch Greenfield Flex St,"1-1/4"""
4” Pvc Conduit,"4"""
3/4” Sealtight,"3/4"""
"3/4"" FLEX CONDUIT","3/4"""
"3/4"" PVC 20' lengths","3/4"""
[Metallic Flexible Conduit Co,UNK
"5"" PVC Conduit, 10', Schedule ","5"""
"2 1/2"" EMT STEEL CMPRESSION CO","2-1/2"""
"3"" PVC Sweep","3"""
"[PVC] 3"", Schedule 80, 10' St","3"""
PVC COND 1,"1"""
3'' EMT BSHG,UNK
1” Carflex,"1"""
2 in. x 10 ft. PVC Schedule 40,"2"""
carflex,UNK
"1/2"" pvc","1/2"""
TOPAZ ELECTRIC 2110 4-IN EMT &,UNK
"3"" PVC Pipe","3"""
3/4 EMT Steel Thinwall,"3/4"""
1Inch pvc,UNK
3/4'' Mater bundle EMT Conduit,"3/4"""
"2"" rigid conduit","2"""
"3/4"" Flex","3/4"""
"3"" metal flex","3"""
1” EMT MINI’s,"1"""
"3"" x 3"" Galvanized Conduit Nip","3"""
"EMT Conduit, 1-1/2"", Galvaniz","1-1/2"""
GENERIC VENDOR-PVCPA JUNCTION ,UNK
"4"" STL FLEX","4"""
6x6x6 pvc weatherproof junctio,"6"""
"2 1/2"" PVC SCHED 40","2-1/2"""
1'' PVC COND,UNK
LT STR FLEXCON 2-1/2,"2-1/2"""
1'' Seal Tight Flex,UNK
"2"" STL FLEX","2"""
"1/2"" METAL FLEX","1/2"""
001MO01 49230 EMT100 1X10',UNK
1/2” sealtight,"1/2"""
"2"" EMT CONDUIT","2"""
"1"" IMC Conduit","1"""
"4"" PVC Coated GRC","4"""
"Arlington 818 ARL 818 4"" EMT S","4"""
"[PVC] 5"", Schedule 40, 10' Sti","5"""
1 750R ENT UL BL KWIKON RL PCO,"1"""
"1/2"" metallic flexible conduit","1/2"""
"3/4"" RED EMT CONDUIT","3/4"""
"2"" sch.40 pvc","2"""
"3/4"" PVC Sch.40 Conduit","3/4"""
[Metallic Flexible Conduit] S,UNK
3/4” pvc,"3/4"""
MIDWEST 511 3/4 RGD 3/4 EMT C,"1-3/4"""
"PVC Coated Rigid Conduit, 2"",","2"""
"1"" PVC CONDUIT SCH 40 10'","1"""
"[PVC] 6"", Schedule 40, 10' Sti","6"""
"1.5"" PVC Coated GRC","5"""
"1-1/2"" PVC","1-1/2"""
3/4 flex aluminum,"3/4"""
3/4 pvc lb,"3/4"""
"3"" Flex","3"""
3/4 Carflex,"3/4"""
"JM eagle 2"" X 10' PVC SCH 40 c","2"""
1” ENT  conduit,"1"""
"3/4"" ENT ( smurf Tube )","3/4"""
1/2'' EMT PIPE,"1/2"""
HALEX1/2 in. Rigid Conduit Loc,"1/2"""
4” PVC LB /Rubber Gasket,"4"""
"2 1/2"" steel greenfield flex c","2-1/2"""
"3/4"" Carlon Carflex","3/4"""
1-1/2” Pvc Schl 40,"1-1/2"""
3/4 PVC MA,"3/4"""
"1/2"" EMT Conduit, 10'","1/2"""
"2.5"" PVC Coated GRC","5"""
3/4 PVC,"3/4"""
3/4 PVC CONDUIT,"3/4"""
"1-1/2"" PVC Utility Duct, 20', ","1-1/2"""
2 1/2 emt,"2-1/2"""
EMT COND 3/4,"3/4"""
"1/2"" carflex","1/2"""
EMT 100 ARLINGTON,UNK
1” Rigid PIPE,"1"""
"3"" Schedule 40 PVC","3"""
"REEL, 1"" CARFLEX LIQUIDTIGHT 5","5"""
"2"" SEAL TIGHT FLEX","2"""
RYMCO - EMT 2-1/2IN,"2-1/2"""
"[GRC/RMC] 4"", 10' Sticks","4"""
Halex 3/8 in. Flexible Metal C,UNK
"EMT Conduit, 1"", Steel, 10'","1"""
"40 foot 3"" PVC Conduit Sch 40","3"""
"3/4"" GRAY ENT 1000' SPOOL","3/4"""
"1/2"" Flex","1/2"""
1” PVC,"1"""
"Master bundle of 1"" EMT","1"""
"3/4"" EMT & Rigid LB Type Combi","3/4"""
1/2 in. x 10 ft. PVC Schedule ,"1/2"""
"EMT Conduit, 3"", Steel, 10'","3"""
"4"" EMT 100'","4"""
"3/4"" sealtight","3/4"""
"10' rigid conduit 3""","3"""
HUSKY1-1/4 in. Ratcheting PVC ,"1-1/4"""
"MUD RNG SQUR 2G PVC 5/8"" CARL",UNK
"2&1/2"" PVC Sch.40 Conduit","1/2"""
20' -1 1/4'' seal Tight Flex,"1-1/4"""
"bridgeport 4365-DC2""/EMT TO CA","2"""
"3/4"" RIGID Conduit","3/4"""
Thomas & Betts XJG28-EMT 3/4 ,"3/4"""
"4"" EMT MINI'S","4"""
"2"" EMT conduit","2"""
"PVC 3"" CONDUIT SCH 40 10'","3"""
"1 1/2"" flex","1-1/2"""
"TOPAZ ELECTRIC 2108 3"" EMT & R","3"""
2”pvc,"2"""
"Carlon 1/2ENT - 1/2"" ENT Non-M","1/2"""
"10' 2"" PVC sch 40","2"""
"3/4"" PVC Shed 40","3/4"""
3in pvc pipe,"3"""
"3"" IMC conduit","3"""
3 IN SCH. 40 PVC,"3"""
PVC-3/4 GENERIC VENDOR-PVCPA 3,"3/4"""
"2"" PVC Conduit, 20', Schedule ","2"""
"1"" EMT pipe","1"""
"EMT CONDUIT, 1/2"", GALVANIZED ","1/2"""
"100 10' 4"" PVC schedule 40","4"""
3/8 in. Flexible Metal Conduit,UNK
2” steal flex,"2"""
PVC In Deck Carlon Nail Down B,UNK
"2"" PVC MA'S","2"""
"2000ft of 3/4"" EMT","3/4"""
"master bundle of 1"" emt condui","1"""
"4"" liquidtight flexable condui","4"""
"3"" steel flex","3"""
"1"" Sch 40 PVC PIPE","1"""
3/4 Green field flex,"3/4"""
J123AL01 35043 ELBEMT4002212,UNK
"3/4"" PVC F/A","3/4"""
"1-1/2"" PVC Conduit, 10', Sche","1-1/2"""
1” Pvc,"1"""
160'  1 1/2'' EMT conduits,"1-1/2"""
KLEIN TOOLS 15FT. MID-FLEX GLO,UNK
"Spatula, Flexible, 5/8"", Sprin",UNK
"Carlon 12008-750 Blue ENT, 1""","1"""
"3"" PVC Weatherhead","3"""
"[ENT] 1/2"", 10'","1/2"""
10' STICK PVC PIPE,UNK
LT STR FLEX 2,"2"""
2-1/2-ALUMINUM FLEXIBLE CONDUI,"2-1/2"""
"3/4"" PVC M/A","3/4"""
"1 1/4"" metal flex conduit","1-1/4"""
"1&1/4"" PVC Sch.40 Conduit","4"""
SQZ FLEX 2-1/2,"2-1/2"""
"1"" x 1-1/2"" Galvanized Conduit","1-1/2"""
1'' GRC OVER QT 006701,UNK
3-1/2”  none metallic flex. - ,"3-1/2"""
"[GRC/RMC] 3/4"", 10' Sticks","3/4"""
1 1/2” pvc,"1-1/2"""
1” ENT,"1"""
"2"" Emt","2"""
"EMT Conduit, 1-1/4"", Steel, 10","1-1/4"""
"1"" emt pipe","1"""
"1-1/2"" GRC ","1-1/2"""
"2 1/2"" EMT conduit","2-1/2"""
LQT NM200-CUT 2-IN-FLEX-NM-LIQ,UNK
LQT NM0501000RL 1/2-IN-FLEX-NM,"1/2"""
"1"" PVC CONDUIT","1"""
"3/8"" FLEXSTEEL CONDUIT",UNK
"1-1/4"" Carflex","1-1/4"""
"4"" PVC MA's","4"""
"2.5"" PVC sched 40","5"""
"1 1/4"" PVC Schedule 40","1-1/4"""
"3/4"" X 6"" Galvanized Conduit N","3/4"""
Halex 5/16 in. Flexible Metal ,UNK
GRC 3/4,"3/4"""
"1 1/2"" flex (greenfeild)","1-1/2"""
"2"" Carflex","2"""
3/4”Smurf,"3/4"""
"[PVC] 1"", Schedule 40, 10' Sti","1"""
"EMT 2 1/2"" CONDUIT","2-1/2"""
1” Sealtight,"1"""
HALEX 3/8 IN. FLEXIBLE METAL C,UNK
"[EMT] 4"", 10' Sticks","4"""
RYMCO - EMT 1-1/2IN,"1-1/2"""
"EMT Conduit, 1/2"", Galvanized","1/2"""
"PVC 1"" SCH 40 CONDUIT","1"""
"10ft 2 1/2"" EMT","2-1/2"""
3/4” car flex,"3/4"""
"3"" PVC Sch.40 Conduit","3"""
"2 1/2"" SCH 40 PVC","2-1/2"""
"1"" gray ENT","1"""
"2"" PVC weatherhead","2"""
"1"" PVC x 20' long","1"""
2 1/2 PVC pipe,"2-1/2"""
"2"" Prefab EMT PIPE","2"""
"3/4"" PVC L.B.","3/4"""
2” Metal Flex,"2"""
"3/4"" Rigid Metal Conduit","3/4"""
"3/4"" FLEX STL CONDUIT","3/4"""
4-STEEL THINWALL CONDUIT,UNK
3/4” GRC,"3/4"""
1 inch Greenfield flex STEEL,"1"""
"3/4"" Schedule 40 PVC","3/4"""
1-IN D/C SQZ FLEX CON,UNK
"10' sticks of 2"" Rigid conduit","2"""
"4"" PVC Schedule 40 20' Sticks","4"""
"1 1/2"" emt mineralac","1-1/2"""
"2-1/2"" PVC PIPE SCH 80","2-1/2"""
SCH 80- 1 IN PVC,"1"""
"4"" EMT Conduit, 10'","4"""
2-1/2 CONDUIT,"2-1/2"""
NIP GRC100X600 1X6-GALV-NIP,UNK
FLEXCON 2,"2"""
"6"" PVC Conduit, 10', Schedule ","6"""
"1"" carflex","1"""
"50' 1 1/2"" emt pipe","1-1/2"""
Arlington 3838ST AC/MC/Flex Co,UNK
4” schedule 40 pvc,"4"""
"1 1/2"" emt LB  (eaton LB55-CGN","1-1/2"""
"2.5"" EMT CONDUIT 10'","5"""
"1/2"" flexible metallic conduit","1/2"""
PVC034P3/4IN SCH40 PVC PIPE,"3/4"""
"3"" flexible metal conduit","3"""
"3/4"" Metal Flex","3/4"""
3/4- STEEL THINWALL CONDUIT,"3/4"""
"4""  PVC SCH 40 (20' LENGTHS)","4"""
1” Schedule 40 Pvc,"1"""
3/4 ent 50',"3/4"""
Carlotte Pipe 1-1/2 in. PVC Sc,"1-1/2"""
3” Emt Conduit,"3"""
1 1/4'' EMT Conduits,"1-1/4"""
"1"" PVC @ 200'","1"""
"1-1/4"" EMT Conduit, 10'","1-1/4"""
"1.5"" schedule 40 pvc","5"""
1-1/2” PvC,"1-1/2"""
"1"" FMC FLEX","1"""
"[ENT] 2"", 500'","2"""
"1-1/4"" PVC Conduit, 10', Sche","1-1/4"""
carflex 3/4,"3/4"""
"1"" pvc conduit schedule 40","1"""
"3/4"" CONDUIT - EMT","3/4"""
"1 1/4"" EMT - 10ft","1-1/4"""
"[PVC] 3"", Schedule 80, 10' Sti","3"""
"1"" emt ","1"""
"3"" EMT Conduit","3"""
"3/4"" gray ENT","3/4"""
4in pvc pipe,"4"""
"1 1/2"" PVC Conduit","1-1/2"""
XENTURY,UNK
"1"" PVC Sch. 80","1"""
"1-1/4"" PVC SCHEUDLE 40","1-1/4"""
"1"" PVC SCH 80","1"""
"1"" car flex","1"""
1 1/2'' Seal Tight Flex,"1-1/2"""
"3""PVC SCH 40","3"""
4” PVC Conduit,"4"""
"Conduit 1-1/2"" NM","1-1/2"""
"4"" Emt","4"""
"1/2"" CARFLEX LT","1/2"""
ELB GRC4001114 4IN GAL 11-1/4,"4"""
"1-1/4"" EMT THINWALL","1-1/4"""
3/4 pvc TA,"3/4"""
"1 1/2"" PVC CONDUIT","1-1/2"""
"1 1/4"" EMT","1-1/4"""
"1/2"" emt","1/2"""
"master bundle 2"" emt conduit","2"""
3/4” smurf tubing,"3/4"""
"1-1/2"" sch.40 PVC","1-1/2"""
"3/4"" EMT SS STL INS THROAT CON","3/4"""
"4"" RIGID CONDUIT","4"""
"3"" PVC MA","3"""
Carlon B120R or equivalent,UNK
PVC COND 4,"4"""
KYL 012011  3/4INX1000FT ENT U,"3/4"""
"4"" pvc sch 40 pipe","4"""
1 1/2 SCH 80 PVC,"1-1/2"""
"3/4"" ENT( Smurf Tube Rated for","3/4"""
1/2” metal flex,"1/2"""
"10' sticks x 1"" rigid conduit","1"""
"PVC 3"" SCH 40 CONDUIT","3"""
"3/4"" Metal-Flex Conduit-Steel","3/4"""
"2"" PVC Conduit, 10', Schedule","2"""
"2"" Conduit - RMC Galvanized","2"""
1-1/2-ALUMINUM FLEXIBLE CONDUI,"1-1/2"""
1 1/2” flex,"1-1/2"""
1 1/4 emt,"1-1/4"""
1/2” emt,"1/2"""
1 “ Schedule 40 pvc conduit,"1"""
"Carlon 12008-750 Blue ENT, 1"",","1"""
"100' total 1-1/2"" pvc sch 40","1-1/2"""
1 1/2” PVC CONDUIT SCH 40,"1-1/2"""
"4"" car flex","4"""
3/4 Inch. ENT To 3/4 Inch. EM,"3/4"""
CONDUIT 1-1/2-EMT,"1-1/2"""
"2 1/2"" Rigid conduit","2-1/2"""
2 1/2”pvc Conduit,"2-1/2"""
"1 1/2"" Schedule 40 PVC","1-1/2"""
PVC OOUP 3/4,"3/4"""
"3/4"" PVC Sch 40","3/4"""
"1/2"" EMT PIPE","1/2"""
"4"" pvc schedule 40","4"""
"1"" GRC Minni's","1"""
"4"" PVC SCHED 40 @ 10'","4"""
"3/4"" LIQUIDTIGHT METAL FLEXIBL","3/4"""
3/4” EMT,"3/4"""
"1"" PVC Conduit, 10', Schedule","1"""
1” sch  40 pvc,"1"""
1-ALUMINUM FLEXIBLE CONDUIT,UNK
"4"" steel flex","4"""
"3/4"" STL FLEX","3/4"""
"3/4"" EMT CONDUIT MASTER BUNDLE","3/4"""
500'-1 1/2'' EMT Conduit,"1-1/2"""
"4"" Rigid Metal Conduit","4"""
2” PVC SCHED 40,"2"""
"1"" schedule 40 pvc conduit","1"""
"3/4"" rigid conduit","3/4"""
"1"" pvc lr","1"""
"3"" PVC Coated GRC","3"""
1in pvc pipe 10' total,"1"""
3/4-EMT,"3/4"""
1 1/4 RIGID CONDUIT,"1-1/4"""
DYNA FLEX,UNK
"1"" pvc TA","1"""
3/4 LT FLEX,"3/4"""
"[ENT] 3/4"", 200'","3/4"""
"3"" PVC LB","3"""
"1/2"" pvc pipe X 10' length","1/2"""
3” pvc scjedule 40,"3"""
1/2 liquidtight conduit non me,"1/2"""
PVC 034P 3/4IN SCH40,"3/4"""
"PVC Coated Rigid Conduit, 1-1/",UNK
"3/4"" sch. 40 PVC","3/4"""
1-1/2 metal flex,"1-1/2"""
3/4” PVC MA,"3/4"""
PVC 200P 2IN SCH40 PVC CONDUIT,UNK
"[EMT] 3 1/2"" Conduit","3-1/2"""
"3"" STL FLEX","3"""
3” Aluminum Rigid Conduit,"3"""
"2 1/2"" IMC Conduit","2-1/2"""
"PVC Coated Rigid Conduit, 2"", ","2"""
"WEATHERPROOF 3/4""EMT CONDULET ","3/4"""
2-RIGID CONDUIT,UNK
PVC 400 4-IN-PVC-SCHED-40-COND,UNK
GRC 4,"4"""
"3"" PVC Sch 40 20' Sections","3"""
"1 1/2"" PVC conduit (10 FT stic","1-1/2"""
"3/4"" GRC x 10' ","3/4"""
"3/4"" EMT Pipe","3/4"""
GRC 1,"1"""
"2-1/2"" EMT 10'","2-1/2"""
12 in. x 12 in. x 6 in. PVC Ju,"6"""
"1"" PVC Coated GRC","1"""
CONDUIT - GALV-STEEL 1IN,UNK
"[PVC] 4"", Schedule 40, 10' St","4"""
"2""  PVC SCH 40","2"""
"1"" PVC MA","1"""
1 1/4 Inch Greenfield Flex Con,"1-1/4"""
3-1/2”Pvc Schl 40,"3-1/2"""
1/2-RIGID CONDUIT,"1/2"""
"1-1/4"" PVC (20' sticks)","1-1/4"""
"6"" SCHEDULE 40 PVC","6"""
"[PVC] 2"", Schedule 80, 10' Sti","2"""
"3/4"" PVC Schedule 40","3/4"""
Panduit ST35-075-66YL PVC Elec,UNK
"2"" PVC LB","2"""
Liquid Tight Flexible Conduit ,UNK
EMT100,UNK
3/4” PVC SCHED 40,"3/4"""
2'' EMT CONDUIT,UNK
"2"" PVC sch. 40","2"""
1/2 STL S/SCR EMT,"1/2"""
"1"" greenfield flex (50')","1"""
118 ADJ 582047 BPT280SP1/2EMT,"1/2"""
"1"" scedule 40 PVC conduit","1"""
PVC4075,UNK
"4"" PVC Conduit","4"""
"1"" EMT Pipe","1"""
1-1/2 Scd 80 Pvc,"1-1/2"""
1/2 steel greenfield flex,"1/2"""
PVC 5-IN-SCHED-40 CONDUIT,UNK
1 1/2 NPT IRON C FORM 7 CNDT B,"1-1/2"""
"1"" STL FLEX","1"""
"[ENT] 3/4"", 750'","3/4"""
"4"" schedule 40 PVC","4"""
"3/4"" PVC COnduit","3/4"""
200' of 1/2 greenfield flex,"1/2"""
2” Pvc Conduit,"2"""
"1"" GRC","1"""
"REEL, 1"" CARFLEX LIQUIDTIGHT ","1"""
300' 2' PVC conduit,UNK
"[PVC] 3/4"", Schedule 40, 10' S","3/4"""
"EMT Conduit, 4"", Galvanized S","4"""
2 1/2” SEALTIGHT,"2-1/2"""
4” sch  40 pvc,"4"""
"2 1/2"" PVC Conduit","2-1/2"""
1/2 Greenfield Flex AL,"1/2"""
"3-1/2"" PVC Conduit, 10', Sched","3-1/2"""
"1/2""EMT CONDUIT","1/2"""
"Rigid Conduit, 2-1/2"", Galvani","2-1/2"""
"1"" PVC Conduit 10Ft","1"""
2-1/2 Rigid Metal Conduit,"2-1/2"""
2 1/2 emt 30s,"2-1/2"""
2 1/2'' EMT CONDUIT,"2-1/2"""
3” flex metal,"3"""
"2-1/2"" PVC schedule 40","2-1/2"""
3/4 BLUE ENT COND,"3/4"""
