,Description,ConduitType
4,"""1""""CONDUIT-EMT""",CONDUIT - EMT
12,EMT COND 1,CONDUIT - EMT
13,EMT COND 3/4,CONDUIT - EMT
17,GRC 1-1/4,CONDUIT - GRC
22,LT STR FLEX 1-1/4,CONDUIT - FLEX
23,LT STR FLEX 3/4,CONDUIT - FLEX
28,GRC 1,CONDUIT - GRC
47,EMT 3/4,CONDUIT - EMT
50,EMT 1,CONDUIT - EMT
61,SQZ FLEX 2,CONDUIT - FLEX
62,EMT 15D EL 2-1/2,CONDUIT - EMT
67,EMT 2-1/2,CONDUIT - EMT
112,STL FLEX 3/4,CONDUIT - FLEX
113,SQZ FLEX 3/4,CONDUIT - FLEX
116,PVC COND 2,CONDUIT - PVC
124,LT STR FLEX 2,CONDUIT - FLEX
131,STL FLEX 1/2,CONDUIT - FLEX
143,EMT 2,CONDUIT - EMT
153,SQZ FLEX 1/2,CONDUIT - FLEX
163,FLEX 1/2,CONDUIT - FLEX
164,FLEX 3/4,CONDUIT - FLEX
170,FLEXCON 1,CONDUIT - FLEX
180,M4 EMT 3/4,CONDUIT - EMT
185,LT STR FLEXCON 1,CONDUIT - FLEX
213,SQZ FLEX 1-1/2,CONDUIT - FLEX
232,"3/4"" RED EMT",CONDUIT - EMT
247,"FLEXIBLE STEEL CONDUIT, 1/2"", ",CONDUIT - FLEX
262,APPLETON TWCC75 EMT COMBINATI,CONDUIT - EMT
264,"FLEXIBLE STEEL CONDUIT, 3/4"", ",CONDUIT - FLEX
281,"1/2"" steel flex",CONDUIT - FLEX
286,"1"" steel flex",CONDUIT - FLEX
294,"1"" EMT",CONDUIT - EMT
301,"1 1/4"" Liquid tight flex (meta",CONDUIT - FLEX
308,EMT 1-1/4,CONDUIT - EMT
444,"EMT Conduit, 3/4"", Galvanized ",CONDUIT - EMT
466,"1 1/2"" EMT conduit",CONDUIT - EMT
472,"1"" seal tight flex (metal insi",CONDUIT - FLEX
611,PVC COND 3/4,CONDUIT - PVC
628,PVC COND 1-1/2,CONDUIT - PVC
629,PVC COND 1,CONDUIT - PVC
639,PVC COND 1-1/4,CONDUIT - PVC
648,PVC COND 4,CONDUIT - PVC
669,EMT 1/2,CONDUIT - EMT
676,GRC 3/4,CONDUIT - GRC
678,GRC 1-1/2,CONDUIT - GRC
679,GRC 2,CONDUIT - GRC
701,2” Pvc Scd 40,CONDUIT - PVC
702,1-1/4 Pvc Scd 40,CONDUIT - PVC
712,1” Pvc Ma,CONDUIT - PVC
723,"3"" PVC Conduit, 10', Schedule ",CONDUIT - PVC
725,"Rigid Conduit, 2"", Galvanized ",CONDUIT - GRC
755,1-1/4 Scd Pvc,CONDUIT - PVC
759,"Rigid Conduit, 3/4"", Galvanize",CONDUIT - GRC
769,1-1/2 Rigid Metal Conduit,CONDUIT - GRC
770,2-1/2 Rigid Metal Conduit,CONDUIT - GRC
786,1” Scd 40 Pvc,CONDUIT - PVC
880,"3/4"" EMT ",CONDUIT - EMT
882,"foot 1/2"" steel flex",CONDUIT - FLEX
895,3/4” EMT,CONDUIT - EMT
929,3/4 Emt,CONDUIT - EMT
934,3” PVC MA’s,CONDUIT - PVC
974,1”emt,CONDUIT - EMT
981,1” Emt,CONDUIT - EMT
986,3/4 Steel Flex,CONDUIT - FLEX
992,"Flexible Steel Conduit, 1/2"", ",CONDUIT - FLEX
998,"[EMT] 1"" Conduit",CONDUIT - EMT
999,"[EMT] 3/4"" Conduit",CONDUIT - EMT
1016,[Metallic Flexible Conduit] Al,CONDUIT - FLEX
1050,3/4 emt,CONDUIT - EMT
1051,1” emt,CONDUIT - EMT
1055,[Metallic Flexible Conduit] St,CONDUIT - FLEX
1109,"EMT Conduit, 1"", Galvanized St",CONDUIT - EMT
1143,2” Metal Flex,CONDUIT - FLEX
1144,1-1/2” Metal Flex,CONDUIT - FLEX
1145,2-1/2 Metal Flex,CONDUIT - FLEX
1169,3/4 Flex Metal Flex Conduit,CONDUIT - FLEX
1173,"EMT Conduit, 1-1/2"", Galvanize",CONDUIT - EMT
1183,1/2 Metal Flex,CONDUIT - FLEX
1187,1” Metal Flex,CONDUIT - FLEX
1196,3” Sealtight,CONDUIT - FLEX
1199,3/4”:sealtight,CONDUIT - FLEX
1211,"[EMT] 3 1/2"" Conduit",CONDUIT - EMT
1232,1/2” Steel Metal Flex,CONDUIT - FLEX
1347,PVC COND 3,CONDUIT - PVC
1415,GRC 4,CONDUIT - GRC
1416,GRC 3,CONDUIT - GRC
1454,"[PVC] 3/4"", Schedule 40, 10' S",CONDUIT - PVC
1467,Panduit ST35-075-66YL PVC Elec,CONDUIT - PVC
1500,"3/4"" PVC Conduit, 10', Schedul",CONDUIT - PVC
1501,"[PVC] 1 1/2"", Schedule 40, 10'",CONDUIT - PVC
1508,"[GRC/RMC] 2"", 10' Sticks",CONDUIT - GRC
1512,"Carlon E986L 3"" LB PVC Conduit",CONDUIT - PVC
1524,"2"" GRC ",CONDUIT - GRC
1525,"3"" GRC ",CONDUIT - GRC
1543,"3/4"" x 10' Sticks of GRC ",CONDUIT - GRC
1602,"[PVC] 6"", Schedule 40, 20' Sti",CONDUIT - PVC
1609,"6"" PVC SCHED 40 - 20' LENGTHS",CONDUIT - PVC
1612,"[PVC] 4"", Schedule 40, 20' Sti",CONDUIT - PVC
1613,"[PVC] 3"", Schedule 40, 10' Sti",CONDUIT - PVC
1635,"[PVC] 4"", Schedule 40, 10' Sti",CONDUIT - PVC
1643,"[PVC] 1/2"", Schedule 40, 10' S",CONDUIT - PVC
1672,"[PVC] 1"", Schedule 40, 10' Sti",CONDUIT - PVC
1694,"[PVC] 1 1/4"", Schedule 40, 10'",CONDUIT - PVC
1714,GRC 5,CONDUIT - GRC
1729,LT FLEX 1/2,CONDUIT - FLEX
1743,"[EMT] 3/4"", 10' Sticks",CONDUIT - EMT
1747,"[EMT] 1"", 10' Sticks",CONDUIT - EMT
1754,"[EMT] 4"", 10' Sticks",CONDUIT - EMT
1755,"[EMT] 3"", 10' Sticks",CONDUIT - EMT
1774,781 through thestudconduit sup,UNK
1779,"[EMT] 3 1/2"", 10' Sticks",CONDUIT - EMT
1884,"[EMT] 2"" Conduit",CONDUIT - EMT
1885,"[EMT] 1 1/2"" Conduit",CONDUIT - EMT
1886,"[EMT] 3"" Conduit",CONDUIT - EMT
1905,[Metallic Flexible Conduit Con,CONDUIT - FLEX
1922,"[EMT] 4"" Conduit",CONDUIT - EMT
2073,"[EMT] 1 1/4"" Conduit",CONDUIT - EMT
2079,TPZ ELB2CG 3/4 AL EMT LB COND ,CONDUIT - EMT
2083,"[ENT] 3/4"", 200'",CONDUIT - ENT
2086,3/4 L/T FLEX PVC,CONDUIT - FLEX
2126,1-STEEL THINWALL CONDUIT,CONDUIT - GRC
2307,"[EMT] 1 1/4"", 10' Sticks",CONDUIT - EMT
2391,"[EMT] 2"", 10' Sticks",CONDUIT - EMT
2471,[Metallic Flexible Conduit Co,CONDUIT - FLEX
2947,"[PVC] 4"", Schedule 40, 20' St",CONDUIT - PVC
2950,"[PVC] 2"", Schedule 40, 20' St",CONDUIT - PVC
2973,"3/4"" PVC SCH 40",CONDUIT - PVC
2976,"1"" PVC Conduit, 10', Schedule ",CONDUIT - PVC
2988,"4"" PVC CONDUIT, 10', SCHEDULE ",CONDUIT - PVC
2989,"2"" PVC CONDUIT, 10', SCHEDULE ",CONDUIT - PVC
3011,"1-1/2"" PVC Conduit, 10', Sched",CONDUIT - PVC
3023,"1 ""  PVC SCH 40",CONDUIT - PVC
3042,"2 1/2"" pvc conduit-10' sticks",CONDUIT - PVC
3046,"2"" PVC Conduit, 10', Schedule ",CONDUIT - PVC
3058,"4"" PVC Conduit, 10', Schedule ",CONDUIT - PVC
3059,"2 1/2""  PVC SCH 40",CONDUIT - PVC
3062,"1-1/2"" PVC Conduit, 10', Sche",CONDUIT - PVC
3063,"3"" PVC Conduit, 10', Schedule",CONDUIT - PVC
3109,GRC 6,CONDUIT - GRC
3117,"[EMT] 1/2"" Conduit",CONDUIT - EMT
3121,3/4 ent correctors,CONDUIT - ENT
3125,"1-1/2"" PVC Utility Duct, 20', ",CONDUIT - PVC
3207,"3/4"" ENT",CONDUIT - ENT
3258,"1"" ENT",CONDUIT - ENT
3265,"[EMT] 3/4"" Conduit, Gray",CONDUIT - EMT
3266,"[EMT] 1"" Conduit, Gray",CONDUIT - EMT
3283,ENT COND 3/4,CONDUIT - ENT
3416,"[PVC] 2"", Schedule 40, 10' Sti",CONDUIT - PVC
3429,"1-1/4"" EMT Conduit, 10'",CONDUIT - EMT
3443,"REEL, 3/4"" CARFLEX LIQUIDTIGHT",CONDUIT - FLEX
3450,"Gray ENT w/ Blue Stripe, 1-1/4",CONDUIT - ENT
3464,198 KTA25 1-1/4 PVC CON 189680,CONDUIT - PVC
3466,193WA 15007-CUT REEL3/4LT FLEX,CONDUIT - FLEX
3467,"4"" PVC Conduit, 10', Schedule",CONDUIT - PVC
3472,"Flexible Steel Conduit, 3"", 25",CONDUIT - FLEX
3521,2” pvc conduit,CONDUIT - PVC
3573,1/2” emt to flex,CONDUIT - FLEX
3579,carflex 3/4”,CONDUIT - FLEX
3622,"EMT CONDUIT, 1/2"", GALVANIZED ",CONDUIT - EMT
3632,"EMT Conduit, 1/2"", Galvanized ",CONDUIT - EMT
3669,"Aluminum Flex, 1-1/2""",CONDUIT - FLEX
3999,BLU ENT 3/4,CONDUIT - ENT
4024,"2 ""  PVC SCH 40",CONDUIT - PVC
4048,"3""  PVC SCH 40",CONDUIT - PVC
4049,"2""  PVC SCH 40",CONDUIT - PVC
4059,ENT BLU 1 REPL,CONDUIT - ENT
4090,ENT 3/4,CONDUIT - ENT
4112,4” PVC Conduit,CONDUIT - PVC
4113,1” PVC Conduit,CONDUIT - PVC
4140,2IN HDPE TO PVC TRANSITION FI,CONDUIT - PVC
4150,3in pvc pipe,CONDUIT - PVC
4169,1” PVC LB CONDULETS WITH GASK,CONDUIT - PVC
4170,1” PVC LB CONDULETS WITH GASKE,CONDUIT - PVC
4188,6IN HDPE TO PVC TRANSITION FI,CONDUIT - PVC
4191,4” PVC CONDUIT,CONDUIT - PVC
4198,4” Pvc Conduit,CONDUIT - PVC
4201,3” Pvc Conduit,CONDUIT - PVC
4203,2” Pvc Conduit,CONDUIT - PVC
4209,"3"" PVC Schedule 40",CONDUIT - PVC
4231,"2"" PVC sched 40",CONDUIT - PVC
4239,"[PVC] 2"", Schedule 40, 10' St",CONDUIT - PVC
4240,"[PVC] 4"", Schedule 40, 10' St",CONDUIT - PVC
4241,"3/4"" PVC Shed 40",CONDUIT - PVC
4246,"4"" PVC SCH 40",CONDUIT - PVC
4257,"2"" pvc sched 40",CONDUIT - PVC
4262,"4"" PVC Sched 40",CONDUIT - PVC
4274,PVC-4 GENERIC VENDOR-PVCPA 4 S,CONDUIT - PVC
4276,PVC-3/4 GENERIC VENDOR-PVCPA 3,CONDUIT - PVC
4298,"1 1/2"" PVC Conduit Schedule 40",CONDUIT - PVC
4317,"6"" PVC Schedule 40",CONDUIT - PVC
4345,"2-1/2"" PVC Conduit, 10', Sched",CONDUIT - PVC
4357,"1 1/2"" pvc sch 40",CONDUIT - PVC
4362,pvc 1 1/2 ,CONDUIT - PVC
4383,15005-CUT 1/2 L/T FLEX PVC,CONDUIT - FLEX
4392,"1/2"" pvc",CONDUIT - PVC
4401,"1 1/2"" PVC Conduit Sch 40",CONDUIT - PVC
4404,"1/2"" PVC Schedule 40",CONDUIT - PVC
4454,BLU ENT 1,CONDUIT - ENT
4494,LT FLEX 2,CONDUIT - FLEX
4522,1” ENT,CONDUIT - ENT
4550,kwikon esu-10-35 ipex ENT chai,CONDUIT - ENT
4598,LQT FLEX 1/2,CONDUIT - FLEX
4602,10-35 ENT KWIKON,CONDUIT - ENT
4626,1” EMT,CONDUIT - EMT
4688,1in blue ent,CONDUIT - ENT
4697,3” PVC,CONDUIT - PVC
4714,1 1/2” EMT,CONDUIT - EMT
4771,1 1/2” EMT CONDUIT,CONDUIT - EMT
4775,PVC OOUP 3/4,CONDUIT - PVC
4777,PVC COOUP 1,CONDUIT - PVC
4782,3/4” EMT CONDUIT,CONDUIT - EMT
4792,PVC 22-1/2D EL 4,CONDUIT - PVC
4798,1/2” Carflex,CONDUIT - FLEX
4867,"3/4"" EMT",CONDUIT - EMT
4937,"4"" emt",CONDUIT - EMT
4958,1 1/2 emt,CONDUIT - EMT
4959,"3"" EMT",CONDUIT - EMT
5022,"EMT Conduit, 4"", Galvanized St",CONDUIT - EMT
5023,"EMT Conduit, 3"", Galvanized St",CONDUIT - EMT
5069,"1 1/2"" Flex",CONDUIT - FLEX
5148,"2"" EMT",CONDUIT - EMT
5163,"4""liquidtight flexable metal ",CONDUIT - FLEX
5166,"4"" liquidtight flexable condui",CONDUIT - FLEX
5178,3/4 EMT,CONDUIT - EMT
5229,3/4-STEEL THINWALL CONDUIT,CONDUIT - GRC
5235,"Flexible Steel Conduit, 2"",",CONDUIT - FLEX
5239,"3"" flexible metal conduit",CONDUIT - FLEX
5268,LB65 MT LB65-MT 2 EMT LB COND ,CONDUIT - EMT
5272,"Aluminum Flex, 1-1/2"", 25' Coi",CONDUIT - FLEX
5305,CONDUIT 3/4-EMT,CONDUIT - EMT
5338,CONDUIT 3-30D-EMT-EL,CONDUIT - EMT
5368,4IN METAL FLEX,CONDUIT - FLEX
5372,emt conduit 1 1/2,CONDUIT - EMT
5382,2IN ALUM METAL FLEX,CONDUIT - FLEX
5387,3/4 EMT PIPE,CONDUIT - EMT
5388,1IN EMT PIPE,CONDUIT - EMT
5401,CONDUIT 1-1/2-EMT,CONDUIT - EMT
5403,1 1/2 EMT SS,CONDUIT - EMT
5408,4in metal flex,CONDUIT - FLEX
5449,"EMT 1 1/2"" CONDUIT",CONDUIT - EMT
5490,EMT EL 1-1/2,CONDUIT - EMT
5505,"2"" greenfield flex",CONDUIT - FLEX
5533,pvc 1 1/2,CONDUIT - PVC
5564,"3/4"" non metalic flex",CONDUIT - FLEX
5572,"EMT Conduit, 1"", Steel, 10'",CONDUIT - EMT
5573,"EMT Conduit, 3/4"", Steel, 10'",CONDUIT - EMT
5586,"4"" PVC Schedule 80",CONDUIT - PVC
5603,"1/2"" metal flex",CONDUIT - FLEX
5604,"3/4"" metal flex",CONDUIT - FLEX
5691,"3/4"" non metalic flex 1000' re",CONDUIT - FLEX
5712,"4"" EMT 100'",CONDUIT - EMT
5724,"1"" Aluminum metal flex 250'",CONDUIT - FLEX
5729,"2"" metalic flex",CONDUIT - FLEX
5765,EMT 1-1/2,CONDUIT - EMT
5772,FLEX 4,CONDUIT - FLEX
5777,3/4 EMT STEEL THINWALL CONDUIT,CONDUIT - EMT
5783,1/2 L/T FLEX PVC,CONDUIT - FLEX
5806,"Liquidtight Flexible Conduit, ",CONDUIT - FLEX
5807,"1-1/2"" Flexible Steel Conduit,",CONDUIT - FLEX
5851,"Aluminum Flex, 1/2"", 50' Reel",CONDUIT - FLEX
5857,FLEX ALUM 1/2 CUT REEL CONDUIT,CONDUIT - FLEX
5858,2'' FLEX,CONDUIT - FLEX
5870,1/2 carflex,CONDUIT - FLEX
5922,1/2 car flex,CONDUIT - FLEX
5936,1/2'' STL FLEX,CONDUIT - FLEX
5941,"REEL, 1"" CARFLEX LIQUIDTIGHT 5",CONDUIT - FLEX
5959,3/4 EMT Steel Thinwall,CONDUIT - EMT
5968,"1/2""X 25' LIQUIDTITE NON-FLEX ",CONDUIT - FLEX
5989,"1 1/2"" EMT",CONDUIT - EMT
6011,528WC PVC ROW 4 ADJ,CONDUIT - PVC
6051,1/2 in. Flexible Metal Conduit,CONDUIT - FLEX
6076,Halex 3/8 in. Flexible Metal C,CONDUIT - FLEX
6095,3/8 in. Flexible Metal Conduit,CONDUIT - FLEX
6102,1/2 in. x 10 ft. PVC Schedule ,CONDUIT - PVC
6133,"2"" Carflex",CONDUIT - FLEX
6195,"EMT Conduit, 2-1/2"", Galvanize",CONDUIT - EMT
6196,"EMT Conduit, 2"", Galvanized St",CONDUIT - EMT
6197,"Carlon 12008-750 Blue ENT, 1"",",CONDUIT - ENT
6267,1 1/2” EMT MINERALACS,CONDUIT - EMT
6270,1 1/2 EMT MINERALACS,CONDUIT - EMT
6456,Calbrite S61000MH00 Conduit Ha,UNK
6473,Calbrite S61000MH00 Conduit H,UNK
7176,"1"" pvc pipe",CONDUIT - PVC
7177,"3"" pvc pipe",CONDUIT - PVC
7313,"[PVC] 1"", Schedule 40, 10' St",CONDUIT - PVC
7324,"[PVC] 3/4"", Schedule 40, 10' ",CONDUIT - PVC
7369,"1/2"" CARFLEX LT",CONDUIT - FLEX
7373,"[PVC] 2"", Schedule 80, 10' Sti",CONDUIT - PVC
7402,1/2 fmc flex conduit,CONDUIT - FLEX
7420,"[EMT] 1/2"", 10' Sticks",CONDUIT - EMT
7530,"Flexible Conduit] Alum 3/4"", ",CONDUIT - FLEX
7684,"[ENT] 2"", 500'",CONDUIT - ENT
7703,"1/2"" EMT Conduit, 10'",CONDUIT - EMT
7704,"3/4"" EMT Conduit, 10'",CONDUIT - EMT
7735,LT FLEX NM 3/4,CONDUIT - FLEX
7739,"EMT Conduit, 1/2"", Steel, 10'",CONDUIT - EMT
7749,"[GRC/RMC] 1 1/2"", 10' Sticks",CONDUIT - GRC
7794,"2"" Rigid (GRC)",CONDUIT - GRC
7799,"1/2"" metallic flex (FMC)",CONDUIT - FLEX
8431,"1-1/4"" PVC Conduit, 10', Sched",CONDUIT - PVC
8438,"1"" PVC Schedule 40 ",CONDUIT - PVC
8439,"1-1/4"" PVC ",CONDUIT - PVC
8442,"3/4"" PVC  Schedule  40",CONDUIT - PVC
8475,"2"" PVC CONDUIT SCHEDULE 40",CONDUIT - PVC
8521,"3/4"" PVC CONDUIT SCH 40",CONDUIT - PVC
8533,"1 1/4""  PVC SCH 40",CONDUIT - PVC
8537,Appleton CL100MN Rigid Conduit,CONDUIT - GRC
8542,"Rigid Conduit, 6"", Galvanized",CONDUIT - GRC
8544,"Rigid Conduit, 4"", Galvanized ",CONDUIT - GRC
8554,"PVC
034P
3/4IN SCH40 PVC PIPE
",CONDUIT - PVC
8557,"MUD RNG SQUR 2G PVC 5/8"" CARL",CONDUIT - PVC
8604,"6"" PVC Conduit, 10', Schedule ",CONDUIT - PVC
8626,"IMC Conduit, 3"", Galvanized St",CONDUIT - GRC
8665,"1/2"" PVC Conduit, 10', Schedul",CONDUIT - PVC
8703,"1/2"" Carflex",CONDUIT - FLEX
8758,"4"" EMT Pipe",CONDUIT - EMT
8788,"2"" EMT Pipe",CONDUIT - EMT
8789,"3"" EMT Pipe",CONDUIT - EMT
8790,3/4 Carflex,CONDUIT - FLEX
8799,"3/4"" PVC Pipe",CONDUIT - PVC
8800,"1"" PVC Pipe",CONDUIT - PVC
8802,"4"" PVC Conduit, 20', Schedule ",CONDUIT - PVC
8803,"3"" PVC Pipe",CONDUIT - PVC
8816,"4"" PVC SCH 40 PIPE",CONDUIT - PVC
8857,"3/4"" CONDUIT",UNK
8885,"2"" PVC Pipe",CONDUIT - PVC
8973,"1-1/2"" EMT Pipe",CONDUIT - EMT
8974,"1"" EMT Pipe",CONDUIT - EMT
8980,"1-1/2"" Liquidtight Conduit",CONDUIT - FLEX
8983,"3/4"" EMT Pipe",CONDUIT - EMT
8995,LQT NM150-CUT 1-1/2-FLEX-NM-LI,CONDUIT - FLEX
9006,carflex,CONDUIT - FLEX
9033,EMT 075 3/4X10FT-EMT,CONDUIT - EMT
9242,14-2C SOL BC LSPVC UNSHLD LSPV,CONDUIT - PVC
9477,KLEIN TOOLS 15FT. MID-FLEX GLO,CONDUIT - FLEX
9481,4'' - 2'' PVC TRANSFER FROM JA,CONDUIT - PVC
9482,4'' PVC PIPE TRANSFER FROM ACE,CONDUIT - PVC
9535,PIPE STA TO MCA2,UNK
9542,4” Rigid PIPE,CONDUIT - GRC
9543,1” Rigid PIPE,CONDUIT - GRC
9547,Schedule 80 1” PVC,CONDUIT - PVC
9548,4in rigid pipe,CONDUIT - GRC
9559,2” PVC,CONDUIT - PVC
9563,4” PVC LB /Rubber Gasket,CONDUIT - PVC
9565,2” PVC LB,CONDUIT - PVC
9566,2” PVC Sch 40,CONDUIT - PVC
9567,4”PVC Sch 40,CONDUIT - PVC
9569,4” PVC LB,CONDUIT - PVC
9577,"3/4"" PVC COnduit",CONDUIT - PVC
9585,"2"" PVC Conduit, 10', Schedule",CONDUIT - PVC
9589,"Rigid Conduit, 1/2"", Galvanize",CONDUIT - GRC
9599,"3"" PVC SCH 40 (10' Lenghts )",CONDUIT - PVC
9600,"2"" PVC SCH40 ( 10' Lengths )",CONDUIT - PVC
9666,"1"" pvc pipe sch. 40",CONDUIT - PVC
9668,"2"" PVC",CONDUIT - PVC
9696,SQZ FLEX 4,CONDUIT - FLEX
9714,FLEX STL 4,CONDUIT - FLEX
9743,"3"" car flex",CONDUIT - FLEX
9746,"4"" car flex",CONDUIT - FLEX
9767,EMT CMP CON 1/2,CONDUIT - EMT
9806,"[EMT] 3/4"" Conduit, Red",CONDUIT - EMT
9823,3/4 emt pipe,CONDUIT - EMT
9852,"3/4"" EMT CONDUIT",CONDUIT - EMT
9875,"3/4"" EMT CONDUIT MASTER BUNDLE",CONDUIT - EMT
9895,"master bundle 1"" emt conduit",CONDUIT - EMT
9935,"3/4"" RED EMT CONDUIT",CONDUIT - EMT
9941,5620 TB 5620 2 INCH T&B EMT CO,CONDUIT - EMT
9949,"3/4"" emt conduit",CONDUIT - EMT
9950,"1"" emt conduit",CONDUIT - EMT
9958,"3/4"" red emt conduit",CONDUIT - EMT
9982,"MASTER BUNDLE 3/4"" EMT CONDUIT",CONDUIT - EMT
9992,"master bundle of 1"" emt condui",CONDUIT - EMT
10015,"1 1/4"" emt conduit",CONDUIT - EMT
10022,"3/4"" EMT CODUIT",CONDUIT - EMT
10036,"1 "" EMT CONDUIT",CONDUIT - EMT
10105,"1 1/4"" SEAL TIGHT FLEX",CONDUIT - FLEX
10106,"2"" SEAL TIGHT FLEX",CONDUIT - FLEX
10116,"master bundle 2"" emt conduit",CONDUIT - EMT
10123,"1"" EMT PIPE",CONDUIT - EMT
10124,"3/4"" emt coduit",CONDUIT - EMT
10129,"WEATHERPROOF 3/4""EMT CONDULET ",CONDUIT - EMT
10138,"1 1/2"" SEAL TIGHT FLEX NOT CA",CONDUIT - FLEX
10169,"Red EMT Conduit, 3/4""",CONDUIT - EMT
10170,STREMT 75,CONDUIT - EMT
10175,"3/4 "" SEAL TIGHT FLEX/ PVC COA",CONDUIT - FLEX
10176,"1""SEAL TIGHT FLEX/ PVC COATED ",CONDUIT - FLEX
10179,"1 1/4"" EMT CONDUIT",CONDUIT - EMT
10182,2 1/2 emt conduit,CONDUIT - EMT
10207,"2"" SEAL TIGHT FLEX PVC COATED ",CONDUIT - FLEX
10210,"1 1/2"" emt coduit",CONDUIT - EMT
10220,EMT 1  223  1071872,CONDUIT - EMT
10221,EMT 3/4  223  1071872,CONDUIT - EMT
10231,"EMT LB 2 1/2"" Thread",CONDUIT - EMT
10237,"2 1/2"" EMT STEEL CMPRESSION C",CONDUIT - EMT
10241,"2 1/2"" EMT STEEL CMPRESSION CO",CONDUIT - EMT
10252,STREMT 75 EMT TO LT FLEX,CONDUIT - FLEX
10253,STREMT 200 EMT TO LT FLEX,CONDUIT - FLEX
10297,"1"" emt  pipe",CONDUIT - EMT
10306,"2 1/2"" steel greenfield flex c",CONDUIT - FLEX
10311,"1/2"" emt conduit",CONDUIT - EMT
10318,"2 1/2"" greenfield flex",CONDUIT - FLEX
10332,"2 1/2""steel flex greenfield co",CONDUIT - FLEX
10333,"1 1/2"" greenfield flex",CONDUIT - FLEX
10335,"3"" greenfield flex",CONDUIT - FLEX
10340,"1 1/4 ""SEAL TIGHT FEX TO EMT C",CONDUIT - FLEX
10346,"50' 1 1/2"" emt pipe",CONDUIT - EMT
10361,"1 1/2"" EMT CONDUIT",CONDUIT - EMT
10369,"STREMT150 1 1/2 "" EMT TO SEAL ",CONDUIT - EMT
10382,"1 1/2"" EMT PIPE",CONDUIT - EMT
10396,1/2 flex,CONDUIT - FLEX
10417,"3/4""emt",CONDUIT - EMT
10425,"4"" greenfield flex",CONDUIT - FLEX
10431,1-1/2-STEEL THINWALL CONDUIT,CONDUIT - GRC
10435,"3/4"" sealtight",CONDUIT - FLEX
10439,2-STEEL THINWALL CONDUIT,CONDUIT - GRC
10467,"3/4"" EMT & Rigid LB Type Combi",CONDUIT - EMT
10470,"1"" LiquidTight Conduit",CONDUIT - FLEX
10479,"3/4"" Flexible Steel Conduit",CONDUIT - FLEX
10481,"1/2"" Flex Meatal conduit",CONDUIT - FLEX
10513,1/2-STEEL THINWALL CONDUIT,CONDUIT - GRC
10522,FLEXSTEEL CONDUIT,CONDUIT - FLEX
10533,"EMT CONDUIT, 3/4"", GALVANIZED ",CONDUIT - EMT
10572,"EMT Conduit, 3/4"", Galvanized",CONDUIT - EMT
10583,"EMT Conduit, 1"", Galvanized S",CONDUIT - EMT
10606,"3/4"" x 2"" Galvanized Conduit ",CONDUIT - GRC
10821,"bridgeport 4365-DC2""/EMT TO CA",CONDUIT - EMT
11033,"4"" EMT CODUIT 10' LONG",CONDUIT - EMT
11034,"SPEC-FLX-50B 1/2"" FLEX METAL C",CONDUIT - FLEX
11096,2 1/2 pvc pipe,CONDUIT - PVC
11105,"[PVC] 5"", Schedule 40, 10' St",CONDUIT - PVC
11114,"[PVC] 3"", Schedule 40, 10' St",CONDUIT - PVC
11115,"[PVC] 2 1/2"", Schedule 40, 10",CONDUIT - PVC
11117,"[PVC] 1 1/2"", Schedule 40, 10",CONDUIT - PVC
11118,"[PVC] 1 1/4"", Schedule 40, 10",CONDUIT - PVC
11172,"[PVC] 2 1/2"", Schedule 40, 10'",CONDUIT - PVC
11192,"3/4"" PVC MA's",CONDUIT - PVC
11193,"110' 3/4"" PVC",CONDUIT - PVC
11230,"2-1/2"" GRC ",CONDUIT - GRC
11245,"[PVC] 3 1/2"", Schedule 40, 10'",CONDUIT - PVC
11256,"[GRC/RMC] 4"", 10' Sticks",CONDUIT - GRC
11300,3/4 pvc conduit,CONDUIT - PVC
11396,"[EMT] 2 1/2"" Conduit",CONDUIT - EMT
11436,1/2 steel greenfield flex,CONDUIT - FLEX
11487,"1/2"" EMT ",CONDUIT - EMT
11490,"1"" EMT Minni ",CONDUIT - EMT
