,Description,ConduitType
52125,3/4” EMT conduit,CONDUIT - EMT
52126,1/2”EMT conduit,CONDUIT - EMT
52129,1/2'' EMT CONDUIT,CONDUIT - EMT
52132,300' 2' PVC conduit,CONDUIT - PVC
52134,20' 2'' seal Tight Flex,CONDUIT - FLEX
52144,20' -1 1/4'' seal Tight Flex,CONDUIT - FLEX
52161,1 1/4in emt pipe,CONDUIT - EMT
52174,"1/2 "" EMT",CONDUIT - EMT
52229,2' EMT ,CONDUIT - EMT
52230,"1 1/2"" EMT ",CONDUIT - EMT
52239,100'-3/4'' Rigid conduit,CONDUIT - GRC
52240,100' 1'' Rigid conduit,CONDUIT - GRC
52254,2'' EMT CONDUIT,CONDUIT - EMT
52255,2 1/2'' EMT CONDUIT,CONDUIT - EMT
52261,1-1/2 EMT,CONDUIT - EMT
52337,"1/2"" Metal Flex",CONDUIT - FLEX
52432,3'' EMT  Plastic Throated Con,CONDUIT - EMT
52487,1-RIGID CONDUIT,CONDUIT - GRC
52506,14' Of 4'' seal Tight Flex,CONDUIT - FLEX
52517,16' Of Seal Tight Flex,CONDUIT - FLEX
52527,1 1/2'' EMT conduits,CONDUIT - EMT
52543,2-RIGID CONDUIT,CONDUIT - GRC
52551,1'' EMT Conduit,CONDUIT - EMT
52582,40' -1 1/4'' Green Field Flex,CONDUIT - FLEX
52583,40' 1 1/2'' Green Field Flex,CONDUIT - FLEX
52586,1-roll 1'' Green Field Flex,CONDUIT - FLEX
52587,1-roll 3/4'' Green Field Flex,CONDUIT - FLEX
52590,1 1/4'' EMT Conduits,CONDUIT - EMT
52591,1 1/2'' EMT Conduits,CONDUIT - EMT
52592,60' Of 2'' EMT Conduits,CONDUIT - EMT
52593,3'' EMT Conduits,CONDUIT - EMT
52628,1-1/4-STEEL THINWALL CONDUIT,CONDUIT - GRC
52648,800'-1 1/4'' EMT Conduit,CONDUIT - EMT
52649,500'-1 1/2'' EMT Conduit,CONDUIT - EMT
52650,80'-3'' EMT Conduit,CONDUIT - EMT
52662,3/4'' Seal Tight Flex,CONDUIT - FLEX
52663,1 1/2'' Seal Tight Flex,CONDUIT - FLEX
52672,100'-1 1/2'' Rigid Conduits,CONDUIT - GRC
52673,100'- 2'' Rigid Conduit,CONDUIT - GRC
52674,40'- 2 1/2'' Rigid Conduit,CONDUIT - GRC
52743,80' 2'' Rigid Conduit,CONDUIT - GRC
52744,80'-2 1/2'' Rigid Conduit,CONDUIT - GRC
52748,2'' Seal Tight Flex,CONDUIT - FLEX
52749,2 1/2'' Seal Tight Flex,CONDUIT - FLEX
52776,3/4'' green field St Flex Con,CONDUIT - FLEX
52791,1''EMT Conduits,CONDUIT - EMT
52794,1'' Seal Tight Flex,CONDUIT - FLEX
52795,1'' Rigid Conduit,CONDUIT - GRC
52824,12' -2 1/2'' SEAL TIGHT FLEX,CONDUIT - FLEX
52848,160'  1 1/2'' EMT conduits,CONDUIT - EMT
52853,200' 3/4'' Rigid Conduit,CONDUIT - GRC
52920,1/2'' EMT Conduits,CONDUIT - EMT
52921,1'' EMT Conduits,CONDUIT - EMT
52923,"1"" Metal Flex Greenfield",CONDUIT - FLEX
52937,20' of 4'' Seal Tight Flex,CONDUIT - FLEX
52986,"1 1/4"" metal flex conduit",CONDUIT - FLEX
53018,30' 2'' Rigid Conduits,CONDUIT - GRC
53099,3/4'' Mater bundle EMT Conduit,CONDUIT - EMT
53629,FLX ALC400RW25CL 4-IN-FLEX-ALU,CONDUIT - FLEX
53679,"10' Sticks 2-1/2"" PVC Sch 40 ",CONDUIT - PVC
53690,"10' Stick 1-1/2"" PVC Sch 40 (T",CONDUIT - PVC
53691,"10' Sticks 4"" PVC Sch 40 (Tota",CONDUIT - PVC
53692,"10' Sticks 2-1/2"" PVC Sch 40 (",CONDUIT - PVC
53695,"320' 4"" PVC Sch 40",CONDUIT - PVC
53712,"10' Sticks 1/2"" EMT (Total 200",CONDUIT - EMT
53721,2” carflex,CONDUIT - FLEX
53840,"4"" PVC sched 40",CONDUIT - PVC
53841,"3/4"" PVC sched 40",CONDUIT - PVC
53842,"1"" PVC sched 40",CONDUIT - PVC
53843,"1.25"" PVC sched 40",CONDUIT - PVC
53844,"1.5"" PVC sched 40",CONDUIT - PVC
53846,"2.5"" PVC sched 40",CONDUIT - PVC
53847,"3"" PVC sched 40",CONDUIT - PVC
53857,"3/4"" grc conduit",CONDUIT - GRC
53858,"1""x10' GRC conduit (to prefab)",CONDUIT - GRC
53865,GRC 1  008PR,CONDUIT - GRC
53877,"2"" GRC CONDUIT X 10'",CONDUIT - GRC
53885,"3"" PVC Sched 40 X 800'",CONDUIT - PVC
53888,"1"" Sched 40 PVC",CONDUIT - PVC
53889,"2"" Sched 40 PVC",CONDUIT - PVC
53901,"1.25"" CARFLEX @ 30'",CONDUIT - FLEX
53902,"3/4"" CARFLEX @ 100'",CONDUIT - FLEX
53903,"3/4"" PVC MA",CONDUIT - PVC
53914,"4"" PVC SCHED 40 @ 10'",CONDUIT - PVC
53922,"1"" PVC SCHED 40",CONDUIT - PVC
53928,1-1/4 L/T FLEX PVC,CONDUIT - FLEX
53952,1'' GRC OVER QT 006701,CONDUIT - GRC
53957,"EMT 1"" CONDUIT",CONDUIT - EMT
53984,"2.5"" EMT CONDUIT 10'",CONDUIT - EMT
54032,"1/2""  STL FLEX",CONDUIT - FLEX
54047,"1.25"" STL FLEX",CONDUIT - FLEX
54054,"4"" STL FLEX",CONDUIT - FLEX
54059,"EMT 1 "" CONDUIT",CONDUIT - EMT
54093,"3"" STL FLEX",CONDUIT - FLEX
54111,"EMT 1.25"" CONDUIT",CONDUIT - EMT
54112,"EMT 1.5"" CONDUIT",CONDUIT - EMT
54113,"EMT 2"" CONDUIT",CONDUIT - EMT
54114,"EMT 2.5"" CONDUIT",CONDUIT - EMT
54115,"EMT 3"" CONDUIT",CONDUIT - EMT
54116,"EMT 4"" CONDUIT",CONDUIT - EMT
54173,"3/4"" STL FLEX",CONDUIT - FLEX
54174,"1"" STL FLEX",CONDUIT - FLEX
54175,"2.5"" STL FLEX",CONDUIT - FLEX
54254,"2"" STL FLEX",CONDUIT - FLEX
54272,"1.5"" EMT",CONDUIT - EMT
54303,"1"" GRC  150LF",CONDUIT - GRC
54329,"1.25"" EMT",CONDUIT - EMT
54359,"2"" GRC X 10'",CONDUIT - GRC
54363,"master bundle 3/4"" EMT",CONDUIT - EMT
54365,"3/4""x10' GRC",CONDUIT - GRC
54397,"2""GRC",CONDUIT - GRC
54421,"3/4"" EMT SS STL INS THROAT CON",CONDUIT - EMT
54464,"2"" PVC Sched 40 @ 200'",CONDUIT - PVC
54467,"1"" PVC @ 200'",CONDUIT - PVC
54470,"2"" PVC X 10' Sched 40",CONDUIT - PVC
54471,"2"" carflex",CONDUIT - FLEX
54475,"3/4"" EMT @ 3000'",CONDUIT - EMT
54782,TWISTER PROFLEX MINI 343 O/B 5,CONDUIT - FLEX
54852,Allied Tube & Conduit SCH40 Ri,UNK
54889,PVC 100 1-IN-PVC-SCHED-40-CON,CONDUIT - PVC
54944,"2"" pvc 10' schedule 40 pipe",CONDUIT - PVC
54948,"1"" pvc ma",CONDUIT - PVC
54977,"2"" pvc  sch 40",CONDUIT - PVC
54980,3/4 pvc sch 40,CONDUIT - PVC
55040,"rigid 2"" pipe",CONDUIT - GRC
55061,"emt 4"" pipe",CONDUIT - EMT
55101,"1/2"" X 100' Flexible Aluminum ",CONDUIT - FLEX
55114,"1"" pvc conduit",CONDUIT - PVC
55136,100' 1/2 aluminum flex,CONDUIT - FLEX
55155,"1"" pvc lr",CONDUIT - PVC
55160,3/4 carflex 100' spools,CONDUIT - FLEX
55162,3/4 pvc ma,CONDUIT - PVC
55163,sch 40 pvc 3/4,CONDUIT - PVC
55472,"1-1/2"" PVC 20' Lengths",CONDUIT - PVC
55484,"3/4"" PVC  ( 100 sticks)",CONDUIT - PVC
55485,"1"" PVC  (50 sticks)",CONDUIT - PVC
55486,"1-1/4"" PVC 20' lengths",CONDUIT - PVC
55487,"3/4"" PVC 20' lengths",CONDUIT - PVC
55498,"1"" PVC 20' lengths",CONDUIT - PVC
55505,1/2 inch pvc conduit Sch 40,CONDUIT - PVC
55536,"1/2"" PVC PIPE",CONDUIT - PVC
55548,"3/4"" PVC M/A",CONDUIT - PVC
55549,"1"" PVC M/A",CONDUIT - PVC
55550,"1 1/4"" PVC M/A",CONDUIT - PVC
55551,"1 1/2"" PVC M/A",CONDUIT - PVC
55552,"4"" PVC M/A",CONDUIT - PVC
55553,"3/4"" PVC F/A",CONDUIT - PVC
55554,"1 1/4"" PVC F/A",CONDUIT - PVC
55555,"1 1/2"" PVC F/A",CONDUIT - PVC
55556,"3"" PVC F/A",CONDUIT - PVC
55557,"4"" PVC F/A",CONDUIT - PVC
55562,"1 1/4"" PVC CONDUIT",CONDUIT - PVC
55568,"1 1/4"" PVC PIPE",CONDUIT - PVC
55598,"1-1/4"" EMT THINWALL",CONDUIT - EMT
55680,"1/2"" sch 40 pvc",CONDUIT - PVC
55703,3'' EMT INS BSHG  047,CONDUIT - EMT
55832,GRC 150 1-1/2-GALV-STEEL,CONDUIT - GRC
55844,"3"" EMT PIPE",CONDUIT - EMT
55848,"1"" EMT LR",CONDUIT - EMT
55898,"1"" EMT LL",CONDUIT - EMT
55913,"4"" EMT MINI'S",CONDUIT - EMT
55914,"1 1/2"" EMT MINI'S",CONDUIT - EMT
56384,PVC Transport CES,CONDUIT - PVC
56530,"EMT Aluminum Conduit, 2-1/2"" D",CONDUIT - EMT
56592,1 BLUE ENT COND,CONDUIT - ENT
56668,"1 1/4"" EMT - 10ft",CONDUIT - EMT
56670,"1-1/4"" EMT Mini",CONDUIT - EMT
56678,1-1/4 NMLT CONDUIT,UNK
56796,4” sch  40 pvc,CONDUIT - PVC
56797,3” sch  40 pvc,CONDUIT - PVC
56798,3/4” sch   pvc,CONDUIT - PVC
56799,1” sch  40 pvc,CONDUIT - PVC
56812,3/4” smurf tubing,CONDUIT - ENT
56822,3” sch  40 pvc 22 1/2”,CONDUIT - PVC
56841,3/4” sch 40 pvc,CONDUIT - PVC
56853,"Blue ENT, 1"", 750' Reel",CONDUIT - ENT
56908,"[PVC] 2"", SCHEDULE 40, 10'",CONDUIT - PVC
56909,"[PVC] 3"", SCHEDULE  40, 10'",CONDUIT - PVC
56910,"[PVC] 3/4"", SCHEDULE 40, 1",CONDUIT - PVC
56911,"[PVC] 4"", SCHEDULE 40, 10'",CONDUIT - PVC
56912,"[PVC] 1 1/2"", SCHEDULE 40",CONDUIT - PVC
56957,GRC 100 1-IN-GALV-STEEL,CONDUIT - GRC
56958,GRC 200 2-IN-GALV-STEEL,CONDUIT - GRC
56981,"ENT 3/4"" 200' REEL",CONDUIT - ENT
57225,"4"" FLEX",CONDUIT - FLEX
57299,4” pvc conduit,CONDUIT - PVC
57332,1/2 ent conduit Blue,CONDUIT - ENT
57354,1-1/2-ALUMINUM FLEXIBLE CONDUI,CONDUIT - FLEX
57777,"1&1/4"" PVC Conduit",CONDUIT - PVC
57779,"4"" PVC Conduit",CONDUIT - PVC
57879,"1"" EMT pipe",CONDUIT - EMT
57917,NIP GRC125XCL 1-1/4XCLOSEX1-5/,CONDUIT - GRC
57996,"2"" Rigid Conduit Threaded",CONDUIT - GRC
58081,Allied Tube & Conduit SCH80 Ri,UNK
58082,"1"" PVC Sch 80",CONDUIT - PVC
58103,"EMT Conduit, 3-1/2"", Steel, 10",CONDUIT - EMT
58152,"3"" Conduit - Site PVC 40",CONDUIT - PVC
58158,"1"" Conduit - PVC 40",CONDUIT - PVC
58160,"4"" Conduit -Site  PVC 40",CONDUIT - PVC
58187,"1"" Sch 40 PVC PIPE",CONDUIT - PVC
58201,PVC 40080 4-IN-PVC-SCHED-80-CO,CONDUIT - PVC
58203,PVC 30080 3-IN-PVC-SCHED-80-CO,CONDUIT - PVC
58330,"2"" x 12"" Galvanized Conduit N",CONDUIT - GRC
58334,"2"" x 12"" Galvanized Conduit Ni",CONDUIT - GRC
58355,"EMT Conduit, 2-1/2"", Steel, 10",CONDUIT - EMT
58503,"1"" Car flex",CONDUIT - FLEX
58801,"1"" Conduit -PVC Sch 80",CONDUIT - PVC
58802,"2"" Conduit - PVC Sch 80",CONDUIT - PVC
58805,"3"" Conduit -Site  PVC Sch 80",CONDUIT - PVC
58806,"4"" Conduit -Site  PVC Sch 80",CONDUIT - PVC
58816,"3"" SCH 40 PVC",CONDUIT - PVC
58817,"2"" SCH 40 PVC",CONDUIT - PVC
58818,"1 1/2"" SCH 40 PVC",CONDUIT - PVC
58840,"1 1/2"" PVC LB W/ GASKET AND CO",CONDUIT - PVC
58848,"1 1/4"" sch 40 pvc",CONDUIT - PVC
58850,"1-1/4"" PVC Sch 40 20' Sections",CONDUIT - PVC
58851,"1-1/2"" PVC Sch 40 20' Sections",CONDUIT - PVC
58852,"2"" PVC Sch 40 20' Sections",CONDUIT - PVC
58853,"2-1/2"" PVC Sch 40 20' Sections",CONDUIT - PVC
58854,"3"" PVC Sch 40 20' Sections",CONDUIT - PVC
58855,"1"" PVC Sch 40 20' Sections",CONDUIT - PVC
58856,"4"" PVC Sch 40 20' Sections",CONDUIT - PVC
58880,"3/4"" ENT Black Plastic Deck St",CONDUIT - ENT
58891,"4"" PVC schedule 40 36"" Radius",CONDUIT - PVC
58892,"1"" PVC x 20' long",CONDUIT - PVC
58902,PIPE PVC075,CONDUIT - PVC
58903,PVC-F TA07,CONDUIT - PVC
58905,"1"" PVC SCH40",CONDUIT - PVC
58908,1-1/4 PVC SCH40,CONDUIT - PVC
58924,"3/4"" PVC Sch.40 Conduit",CONDUIT - PVC
58925,"1"" PVC Sch.40 Conduit",CONDUIT - PVC
58926,"1&1/4"" PVC Sch.40 Conduit",CONDUIT - PVC
59015,PVC In Deck Carlon Nail Down B,CONDUIT - PVC
59019,"2&1/2"" PVC Sch.40 Conduit",CONDUIT - PVC
59020,"3"" PVC Sch.40 Conduit",CONDUIT - PVC
59043,"1/2"" EMT For all the stakes",CONDUIT - EMT
59152,PVC 400 4-IN-PVC-SCHED-40-COND,CONDUIT - PVC
59156,"1"" PVC Sch.40 Conduit 10' Pipe",CONDUIT - PVC
59157,"1-1/4"" PVC Sch.40 Conduit 10' ",CONDUIT - PVC
59198,PVC 150 1-1/2-PVC-SCHED-40-CON,CONDUIT - PVC
59199,PVC 125 1-1/4-PVC-SCHED-40-CON,CONDUIT - PVC
59273,"1&1/2"" PVC Sch.40 Conduit",CONDUIT - PVC
59571,"3/4""  PVC SCH 40 (20' LENGTHS)",CONDUIT - PVC
59573,"1""  PVC SCH 40 (20' LENGTHS)",CONDUIT - PVC
59577,"2 1/2"" PVC Sch 40",CONDUIT - PVC
59667,PVC 07520 3/4-PVC-SCHED-40-20F,CONDUIT - PVC
59769,"3/4"" smurf",CONDUIT - ENT
59774,"3/4"" Sch 40 PVC",CONDUIT - PVC
59775,"1"" Sch 40 PVC",CONDUIT - PVC
59780,"4""  PVC SCH 40 (20' LENGTHS)",CONDUIT - PVC
59849,"2 1/2"" SCH 40 PVC",CONDUIT - PVC
59869,"3"" SCHDULE 80 PVC",CONDUIT - PVC
59872,"2"" PVC sch. 40",CONDUIT - PVC
59935,"Aluminum Flex, 1-1/4"", 50' Coi",CONDUIT - FLEX
60062,"3"" EMT 22's",CONDUIT - EMT
60124,"4"" EMT 22'S",CONDUIT - EMT
60130,2'' EMT,CONDUIT - EMT
60134,"2 1/2"" EMT 22'S",CONDUIT - EMT
60160,"4""EMT 22'S",CONDUIT - EMT
60164,"1"" PVC conduit",CONDUIT - PVC
60408,"Blue ENT, 3/4"", 1000' Reel",CONDUIT - ENT
60451,"[EMT] 4"" Conduit Rigid Galvani",CONDUIT - EMT
60473,2” pvc sch 80  10’ sticks,CONDUIT - PVC
60474,3” pvc sch 80 10’ sticks,CONDUIT - PVC
60938,"4"" PVC Schedule  40 ",CONDUIT - PVC
60986,"2"" EMT Minnies",CONDUIT - EMT
60987,"1-1/4"" EMT Minnies",CONDUIT - EMT
61012,Arlington 3838ST AC/MC/Flex Co,CONDUIT - FLEX
61083,"1"" SCHEDULE 40 PVC",CONDUIT - PVC
61107,3/4 ent 50',CONDUIT - ENT
61111,Arlington 5010AST MC/AC/Flex ,CONDUIT - FLEX
61137,Arlington SG3838AST AC/MC/Flex,CONDUIT - FLEX
61194,3/4-EMT,CONDUIT - EMT
61195,1/2-EMT,CONDUIT - EMT
61197,3/4 STL S/SCR EMT,CONDUIT - EMT
61199,1/2 STL S/SCR EMT,CONDUIT - EMT
61206,"1"" CONDUIT EMT",CONDUIT - EMT
61273,15007-100 3/4 6/T FLEX PVC,CONDUIT - FLEX
61287,SC TC112AN-RT 3/4 EMT RAINTIGH,CONDUIT - EMT
61386,001MO01 49230 EMT100 1X10',CONDUIT - EMT
61497,"3/4"" Aluminum Flexible Conduit",CONDUIT - FLEX
61499,"3/4"" X 6"" Galvanized Conduit N",CONDUIT - GRC
61527,3/4 NMLT CONDUIT,UNK
61531,1/2 STL FLEX REDC WALL UL 100,CONDUIT - FLEX
61599,"2"" PVC Conduit, 10', Schedule ",CONDUIT - PVC
61600,"1"" PVC Conduit, 10', Schedule ",CONDUIT - PVC
61601,"3/4"" PVC Conduit, 10', Schedul",CONDUIT - PVC
61723,"1"" PVC CONDUIT SCH 40 10'",CONDUIT - PVC
61784,"2"" PVC Conduit, 10', Schedule",CONDUIT - PVC
61981,"3/4"" PVC SCH 80",CONDUIT - PVC
61982,"1"" PVC SCH 80",CONDUIT - PVC
61993,"3"" IMC conduit",UNK
61994,"2"" IMC Conduit",UNK
61995,"1"" IMC Conduit",UNK
61997,"3/4"" IMC CONDUIT",UNK
61998,"1/2"" IMC CONDUIT",UNK
61999,"2 1/2"" IMC Conduit",UNK
62000,"[GRC/RMC] 1/2"", 10' Sticks",CONDUIT - GRC
62300,"[ENT] 3/4"" Blue ENT, 100' Long",CONDUIT - ENT
62310,LQT NM075100CL 3/4-FLEX-NM-LIQ,CONDUIT - FLEX
62311,LQT NM100-CUT 1-IN-FLEX-NM-LIQ,CONDUIT - FLEX
62335,"[PVC] 3/4"", Schedule 80, 10' S",CONDUIT - PVC
62399,"1/2""  ridgid pipe",UNK
62592,"1""schedule 40 pvc conduit",CONDUIT - PVC
62604,"4"" IMC PVC Coated",CONDUIT - PVC
62615,"1"" schedule 80 pvc conduit",CONDUIT - PVC
62665,"4"" PVC schedule 40",CONDUIT - PVC
62719,"1-1/2"" pvc ma",CONDUIT - PVC
62721,"1-1/2"" pvc",CONDUIT - PVC
62853,PVC4100,CONDUIT - PVC
62865,PIPE PVC400SCH80,CONDUIT - PVC
62871,PVC4150,CONDUIT - PVC
62873,PVC4400,CONDUIT - PVC
62942,PVC4075,CONDUIT - PVC
62955,EMT400,CONDUIT - EMT
62956,EMT300,CONDUIT - EMT
63021,EMT100,CONDUIT - EMT
63025,EMT125,CONDUIT - EMT
63035,EMT150,CONDUIT - EMT
63056,Carlotte Pipe 1-1/2 in. PVC Sc,CONDUIT - PVC
63085,WI ELE40030 Wi 30D Emt Conduit,CONDUIT - EMT
63086,WI ELE30030 Wi 30D Emt Conduit,CONDUIT - EMT
63089,"TOPAZ ELECTRIC 650S 4"" EMT/RIG",CONDUIT - EMT
63094,TOPAZ ELECTRIC 2110 4-IN EMT &,CONDUIT - EMT
63095,"TOPAZ ELECTRIC 2108 3"" EMT & R",CONDUIT - EMT
63152,WI 621022 WI LT FLEXMT COND 25,CONDUIT - FLEX
63174,"4"" PVC Schedule 40 20' Sticks",CONDUIT - PVC
63175,"4"" PVC Schedule 40 10' Sticks",CONDUIT - PVC
63274,"3/4"" EMT conduit",CONDUIT - EMT
63295,"2 1/2"" PVC",CONDUIT - PVC
63407,"3/4"" emt pipe",CONDUIT - EMT
63408,"1"" emt pipe",CONDUIT - EMT
63411,1/2 carlon none metalick flex ,CONDUIT - FLEX
63412,"3/4"" carlon none metalick flex",CONDUIT - FLEX
63468,"4""PVC sch 40 pipe",CONDUIT - PVC
63485,"2"" PVC Conduit 10Ft",CONDUIT - PVC
63486,"1"" PVC Conduit 10Ft",CONDUIT - PVC
63487,"3/4"" PVC Conduit 10Ft",CONDUIT - PVC
63492,Quart PVC Gule,CONDUIT - PVC
63949,"3/4"" PVC CONDUIT",CONDUIT - PVC
63968,"3"" GREENFIELD METAL FLEX",CONDUIT - FLEX
63973,"3/4"" LIQUID TIGHT METAL FLEX",CONDUIT - FLEX
64059,3/4 RIGID CONDUIT,CONDUIT - GRC
64075,2 1/2 EMT Conduit,CONDUIT - EMT
64080,1 1/4 RIGID CONDUIT,CONDUIT - GRC
64162,"1"" GREEN FIELD FLEX. METAL FLE",CONDUIT - FLEX
64202,"3/4"" liquid tight metal flex.",CONDUIT - FLEX
64356,"1 in. to 3/4"" in. Conduit Redu",UNK
64412,"FLEX 3/4"" ALUMINUM",CONDUIT - FLEX
64450,1 1/2” PVC CONDUIT SCH 40,CONDUIT - PVC
64482,"3/4"" PVC SCHED 40",CONDUIT - PVC
64484,"1 1/2"" PVC SCHED 40",CONDUIT - PVC
64485,"2"" PVC SCHED 40",CONDUIT - PVC
64486,"2 1/2"" PVC SCHED 40",CONDUIT - PVC
64512,NIP GRC100X600 1X6-GALV-NIP,CONDUIT - GRC
64513,NIP GRC200X600 2X6-GALV-NIP,CONDUIT - GRC
64535,"2"" CONDUIT SEAL OFFS",UNK
64536,"3"" CONDUIT SEAL OFFS",UNK
64537,1” PVC SCHEDULE 40,CONDUIT - PVC
64542,1” PVC,CONDUIT - PVC
64640,"2 1/2"" EMT 9O",CONDUIT - EMT
64666,"3/4""  FLEX AL",CONDUIT - FLEX
64667,"1""   FLEX AL",CONDUIT - FLEX
64668,"2 1/2""   FLEX AL",CONDUIT - FLEX
64677,"1/2"" SEALTIGHT",CONDUIT - FLEX
64678,"3/4"" SEALTIGHT",CONDUIT - FLEX
64679,"1"" SEALTIGHT",CONDUIT - FLEX
64752,"3/4"" RIGID Conduit",CONDUIT - GRC
64753,"1"" RIGID Conduit",CONDUIT - GRC
64754,"1 1/2"" RIGID Conduit",CONDUIT - GRC
64755,"2"" RIGID Conduit",CONDUIT - GRC
64756,"2 1/2"" RIGID Conduit",CONDUIT - GRC
64757,"3"" RIGID Conduit",CONDUIT - GRC
64758,"4"" RIGID Conduit",CONDUIT - GRC
64759,"2""   FLEX AL",CONDUIT - FLEX
64760,"1 1/4""  FLEX AL",CONDUIT - FLEX
64781,1-1/2-22-1/2 DEG STD RAD EMT E,CONDUIT - EMT
64790,ELB EMT3002212 3-IN-22-1/2DEG-,CONDUIT - EMT
64847,"3/4"" X 1/4"" EMT CONDUIT FLANG",CONDUIT - EMT
64901,2 1/2” EMT 22’s,CONDUIT - EMT
64945,3/4 X 12-GALVANIZED CONDUIT NI,CONDUIT - GRC
64987,2 1/2” SEALTIGHT,CONDUIT - FLEX
64994,1/2” SEALTIGHT,CONDUIT - FLEX
65012,3/4” SEALTIGHT,CONDUIT - FLEX
65364,"2"" EMT pipe",CONDUIT - EMT
65367,"2"" PVC pipe sch 40",CONDUIT - PVC
65422,"3"" Sch 80 PVC",CONDUIT - PVC
65560,PVC 07580 3/4-PVC-SCHED-80-CON,CONDUIT - PVC
65626,"3/4"" PVC PIPE SCH 40",CONDUIT - PVC
65627,"3/4"" PVC PIPE SCH 80",CONDUIT - PVC
65682,EGS EFC-100 NEER 3/4 EMT TO FL,CONDUIT - EMT
65731,"3"" EMT CONDUIT",CONDUIT - EMT
65735,"1-1/4"" EMT CONDUIT",CONDUIT - EMT
65828,"3"" EMT 22",CONDUIT - EMT
65838,"1 1/2"" metallic flex",CONDUIT - FLEX
65845,EMT plastic bang on,CONDUIT - EMT
65847,"1 1/4"" metallic sealtight",CONDUIT - FLEX
65863,"Carlon A52171E 4"" ENT side nai",CONDUIT - ENT
65864,FLEXAL 300GFA 3IN. ALUM FLEX 2,CONDUIT - FLEX
65873,PVC 050 1/2-PVC-SCHED-40-CONDU,CONDUIT - PVC
65874,LQT NM15050CL 1-1/2-FLEX-NM-LI,CONDUIT - FLEX
65875,AI NMLT150  1-1/2IN PVC LT STR,CONDUIT - PVC
65877,TB A5217DE 4INX4INX2-3/8IN ENT,CONDUIT - ENT
65924,"2"" sch.40 pvc",CONDUIT - PVC
65942,"4"" PVC Sch. 40",CONDUIT - PVC
66057,"3 1/2"" Sch. 40 PVC 10' Pieces",CONDUIT - PVC
66059,"1/2"" metal flexible conduit (g",CONDUIT - FLEX
66106,3/4-STEEL THINWALL CONDUIT RED,CONDUIT - GRC
66168,"PVC 3"" CONDUIT SCH 40 10'",CONDUIT - PVC
66178,"2"" pvc conduit sch 40 10'",CONDUIT - PVC
66194,"1-1/4"" NON-UL FLEX L/T MET CON",CONDUIT - FLEX
66195,"4"" PVC PIPE - SCH 40 - 10 FT",CONDUIT - PVC
66197,"1"" PVC PIPE - SCH 40 - 10 FT ",CONDUIT - PVC
66198,"1-1/4"" PVC PIPE - SCH 40 - 10 ",CONDUIT - PVC
66199,"1-1/2"" PVC PIPE - SCH 40 - 10 ",CONDUIT - PVC
66206,"1-1/2"" NON-UL FLEX L/T MET CON",CONDUIT - FLEX
66237,"2-1/2"" PVC SCH 40 CONDUIT",CONDUIT - PVC
66241,"PVC 1 1/2"" SCH 40 COUNDUIT",CONDUIT - PVC
66243,"PVC 3"" SCH 40 CONDUIT",CONDUIT - PVC
66246,"PVC 4"" SCH 40 CONDUIT",CONDUIT - PVC
66249,"PVC 2"" SCH 40 CONDUIT",CONDUIT - PVC
66252,"PVC 1"" SCH 40 CONDUIT",CONDUIT - PVC
66288,"1"" PVC PIPE",CONDUIT - PVC
66298,3/4 PVC CONDUIT,CONDUIT - PVC
66300,"2"" PVC PIPE",CONDUIT - PVC
66311,"SCH 80 1"" PVC",CONDUIT - PVC
66321,"2-1/2"" PVC PIPE SCH 80",CONDUIT - PVC
66322,"3"" PVC PIPE SCH 80",CONDUIT - PVC
66458,EMT PIPE 3/4,CONDUIT - EMT
66465,"Car flex Conduit. 1/2""",CONDUIT - FLEX
66467,3/4 CARFLEX CONDUIT,CONDUIT - FLEX
66528,EMT 3/4 CONDUIT,CONDUIT - EMT
66568,"3/4"" liquid type flex",CONDUIT - FLEX
